path,mtime,status,n,n_inputs,newer_inputs,producer,tracked
outputs/MANIFEST.md,2026-09-01 22:48,UNKNOWN(no producer found),,0,,,True
outputs/figures/all_rq_figures/RQ1_predictors_cadec.png,2026-08-04 15:34,UNKNOWN(no producer found),,0,,,True
outputs/figures/all_rq_figures/RQ1_predictors_medmentions.png,2026-08-04 15:34,UNKNOWN(no producer found),,0,,,True
outputs/figures/all_rq_figures/RQ2_dissociation_cadec.png,2026-08-04 15:34,UNKNOWN(no producer found),,0,,,True
outputs/figures/all_rq_figures/RQ2_dissociation_medmentions.png,2026-08-04 15:34,UNKNOWN(no producer found),,0,,,True
outputs/figures/all_rq_figures/RQ3_matched_pairs.png,2026-08-16 10:25,STALE,,3,entropy_cadec.csv(09-11 19:11); entropy_full_umls.csv(09-13 12:29); rq3_matched_pair_statistics.csv(09-13 22:20),CADEC_inference.ipynb; rq3_matched_pairs.py,True
outputs/figures/all_rq_figures/RQ4_aurc_4datasets.png,2026-08-20 12:07,UNKNOWN(no producer found),,0,,,True
outputs/figures/all_rq_figures/RQ4_aurc_bioasq_squad2.png,2026-08-20 12:07,UNKNOWN(no producer found),,0,,,True
outputs/figures/all_rq_figures/RQ4_aurc_concept_medmentions_cadec.png,2026-08-20 12:21,UNKNOWN(no producer found),,0,,,True
outputs/figures/all_rq_figures/RQ4_aurc_grouped.png,2026-08-04 15:34,UNKNOWN(no producer found),,0,,,True
outputs/figures/all_rq_figures/RQ4_aurc_medmentions_cadec.png,2026-08-20 12:07,UNKNOWN(no producer found),,0,,,True
outputs/figures/all_rq_figures/RQ4_aurc_qa_bioasq_squad.png,2026-08-20 12:21,UNKNOWN(no producer found),,0,,,True
outputs/figures/all_rq_figures/RQ4_h0_centrepiece_cadec_encoders.png,2026-08-20 04:18,UNKNOWN(no inputs resolved),,0,,RQ4_four_dataset_figures.ipynb,True
outputs/figures/all_rq_figures/RQ4_risk_coverage_bioasq.png,2026-08-20 12:21,CURRENT,,1,,RQ4_Clinical_Utility_Abstention.ipynb; RQ4_MedMentions_Abstention.ipynb; RQ4_margin_benchmark.ipynb,True
outputs/figures/all_rq_figures/RQ4_risk_coverage_cadec.png,2026-08-20 12:21,CURRENT,,1,,RQ4_Clinical_Utility_Abstention.ipynb; RQ4_MedMentions_Abstention.ipynb; RQ4_margin_benchmark.ipynb,True
outputs/figures/all_rq_figures/RQ4_risk_coverage_margin_cadec.png,2026-08-20 12:07,UNKNOWN(no inputs resolved),,0,,RQ4_margin_benchmark.ipynb,True
outputs/figures/all_rq_figures/RQ4_risk_coverage_margin_medmentions.png,2026-08-20 12:07,UNKNOWN(no inputs resolved),,0,,RQ4_margin_benchmark.ipynb,True
outputs/figures/all_rq_figures/RQ4_risk_coverage_medmentions.png,2026-08-20 12:21,CURRENT,,1,,RQ4_MedMentions_Abstention.ipynb,True
outputs/figures/all_rq_figures/RQ4_risk_coverage_squad.png,2026-08-20 12:21,CURRENT,,1,,RQ4_Clinical_Utility_Abstention.ipynb; RQ4_MedMentions_Abstention.ipynb; RQ4_margin_benchmark.ipynb,True
outputs/figures/all_rq_figures/RQ4_riskcoverage_4datasets.png,2026-08-20 12:07,CURRENT,,1,,RQ4_Clinical_Utility_Abstention.ipynb; RQ4_MedMentions_Abstention.ipynb; RQ4_margin_benchmark.ipynb,True
outputs/figures/all_rq_figures/RQ4_riskcoverage_bioasq.png,2026-08-20 12:07,CURRENT,,1,,RQ4_Clinical_Utility_Abstention.ipynb; RQ4_MedMentions_Abstention.ipynb; RQ4_margin_benchmark.ipynb,True
outputs/figures/all_rq_figures/RQ4_riskcoverage_cadec.png,2026-08-20 12:07,CURRENT,,1,,RQ4_Clinical_Utility_Abstention.ipynb; RQ4_MedMentions_Abstention.ipynb; RQ4_margin_benchmark.ipynb,True
outputs/figures/all_rq_figures/RQ4_riskcoverage_medmentions.png,2026-08-20 12:07,CURRENT,,1,,RQ4_Clinical_Utility_Abstention.ipynb; RQ4_MedMentions_Abstention.ipynb; RQ4_margin_benchmark.ipynb,True
outputs/figures/all_rq_figures/RQ4_riskcoverage_squad2.png,2026-08-20 12:07,CURRENT,,1,,RQ4_Clinical_Utility_Abstention.ipynb; RQ4_MedMentions_Abstention.ipynb; RQ4_margin_benchmark.ipynb,True
outputs/figures/all_rq_figures/RQ4_spearman_independence.png,2026-08-20 14:41,UNKNOWN(no producer found),,0,,,True
outputs/figures/all_rq_figures/RQ4_spearman_independence_table.png,2026-08-20 14:41,UNKNOWN(no producer found),,0,,,True
outputs/qa/handoff/qa_exclusion_report.csv,2026-08-19 18:07,STALE,rows=2,1,qa_summary.csv(09-04 03:17),QA_answer_level_semantic_entropy.ipynb,False
outputs/qa/handoff/qa_results_combined.csv,2026-08-19 18:07,STALE,"ids=2,600",1,qa_summary.csv(09-04 03:17),QA_answer_level_semantic_entropy.ipynb; RQ4_Results_compiled.ipynb; RQ4_compute_missing_umls_margin.ipynb,False
outputs/qa/handoff/qa_summary.csv,2026-08-19 18:07,UNKNOWN(no inputs resolved),rows=10,0,,QA_answer_level_semantic_entropy.ipynb; RQ4_Results_compiled.ipynb,False
outputs/qa/intermediate/qa_question_perturbations_bioasq.csv,2026-08-04 23:09,STALE,"ids=1,480",1,qa_summary.csv(09-04 03:17),QA_answer_level_semantic_entropy.ipynb; QA_preflight_smoke.ipynb,False
outputs/qa/intermediate/qa_question_perturbations_bioasq.meta.json,2026-08-04 23:09,STALE,,1,qa_summary.csv(09-04 03:17),QA_answer_level_semantic_entropy.ipynb; QA_preflight_smoke.ipynb,False
outputs/qa/intermediate/qa_question_perturbations_squad2.csv,2026-09-03 23:55,STALE,"ids=10,213",1,qa_summary.csv(09-04 03:17),QA_answer_level_semantic_entropy.ipynb; QA_preflight_smoke.ipynb,False
outputs/qa/intermediate/qa_question_perturbations_squad2.meta.json,2026-09-03 23:55,STALE,,1,qa_summary.csv(09-04 03:17),QA_answer_level_semantic_entropy.ipynb; QA_preflight_smoke.ipynb,False
outputs/qa/intermediate_smoke/qa_preflight_smoke_rows.csv,2026-08-04 17:00,UNKNOWN(no inputs resolved),ids=16,0,,QA_preflight_smoke.ipynb,False
