id,model,dataset,included,m,n_clusters,entropy,norm_entropy,is_zero,correct,em,f1,confidence,is_unanswerable,qtype
56bc751eac7ad10019000013,BioMistral-7B,bioasq,False,2,,,,,,,,,False,factoid
56c1f01def6e394741000045,BioMistral-7B,bioasq,False,1,,,,,,,,,False,factoid
56af9f130a360a5e45000015,BioMistral-7B,bioasq,False,2,,,,,,,,,False,factoid
52bf1b0a03868f1b06000009,BioMistral-7B,bioasq,False,2,,,,,,,,,False,factoid
52bf19c503868f1b06000001,BioMistral-7B,bioasq,True,3,3.0,1.4999999999999956,0.7499999999999978,False,True,1.0,1.0,-0.2815941412009124,False,factoid
5505edac8e1671127b000005,BioMistral-7B,bioasq,False,2,,,,,,,,,False,factoid
56e2cec751531f7e33000015,BioMistral-7B,bioasq,False,2,,,,,,,,,False,factoid
5518e7da622b194345000004,BioMistral-7B,bioasq,False,2,,,,,,,,,False,factoid
530a5117970c65fa6b000007,BioMistral-7B,bioasq,True,3,3.0,1.4999999999999956,0.7499999999999978,False,False,0.0,0.0,-0.25105833521030263,False,factoid
552fac4fbc4f83e828000006,BioMistral-7B,bioasq,False,2,,,,,,,,,False,factoid
54cf7051f693c3b16b000013,BioMistral-7B,bioasq,False,2,,,,,,,,,False,factoid
54e0d1491388e8454a000014,BioMistral-7B,bioasq,True,3,1.0,-1.6017132519074577e-15,-8.008566259537289e-16,True,False,0.0,0.0,-0.1440002846890517,False,factoid
51404dd723fec90375000002,BioMistral-7B,bioasq,False,2,,,,,,,,,False,factoid
56d0451c3975bb303a00000e,BioMistral-7B,bioasq,False,1,,,,,,,,,False,factoid
54ede8c594afd61504000009,BioMistral-7B,bioasq,True,3,2.0,0.9999999999999971,0.49999999999999856,False,False,0.0,0.0,-0.4924766491684649,False,factoid
551c23bc6b348bb82c00000b,BioMistral-7B,bioasq,False,2,,,,,,,,,False,factoid
56c1f02cef6e39474100004c,BioMistral-7B,bioasq,False,1,,,,,,,,,False,factoid
550af222c2af5d5b7000000b,BioMistral-7B,bioasq,True,3,3.0,1.4999999999999956,0.7499999999999978,False,False,0.0,0.0,-0.1309793204007974,False,factoid
56c1f03bef6e394741000053,BioMistral-7B,bioasq,False,2,,,,,,,,,False,factoid
532498959b2d7acc7e000017,BioMistral-7B,bioasq,False,2,,,,,,,,,False,factoid
56d06e043975bb303a000011,BioMistral-7B,bioasq,False,1,,,,,,,,,False,factoid
5509f433c2af5d5b70000008,BioMistral-7B,bioasq,False,2,,,,,,,,,False,factoid
531a34d5b166e2b806000036,BioMistral-7B,bioasq,False,2,,,,,,,,,False,factoid
56cdf40d5795f9a73e00003d,BioMistral-7B,bioasq,False,1,,,,,,,,,False,factoid
553653a5bc4f83e828000007,BioMistral-7B,bioasq,True,3,2.0,0.8112781244591301,0.40563906222956503,False,False,0.0,0.0,-0.41382910080331686,False,factoid
56c868a95795f9a73e000017,BioMistral-7B,bioasq,True,3,4.0,1.9999999999999942,0.9999999999999971,False,False,0.0,0.0,-0.27547562435510525,False,factoid
516e5f41298dcd4e5100007f,BioMistral-7B,bioasq,False,1,,,,,,,,,False,factoid
56ed27012ac5ed145900000b,BioMistral-7B,bioasq,False,1,,,,,,,,,False,factoid
52f223e02059c6d71c00000e,BioMistral-7B,bioasq,False,2,,,,,,,,,False,factoid
5343caffaeec6fbd07000002,BioMistral-7B,bioasq,True,3,3.0,1.4999999999999956,0.7499999999999978,False,False,0.0,0.0,-0.1769680989864355,False,factoid
56a39d60496b62f23f000006,BioMistral-7B,bioasq,True,3,3.0,1.4999999999999956,0.7499999999999978,False,False,0.0,0.0,-0.30095023770816626,False,factoid
