dataset,model,n_included,zero_inflation,mean_norm_entropy,mean_confidence,accuracy,aurc_entropy,aurc_confidence,aurc_random,entropy_beats_conf,unans_auroc_entropy
bioasq,BioMistral-7B,392,0.09693877551020408,0.6806313050712234,-0.31284608395737035,0.22704081632653061,0.637287958002027,0.670824175358362,0.7729591836734694,True,
bioasq,FLAN-T5-base,392,0.15051020408163265,0.5663404107047944,-1.1992692065629893,0.007653061224489796,0.9945835446307479,0.9869031226662773,0.9923469387755102,False,
bioasq,Meta-Llama-3-8B-Instruct,392,0.28316326530612246,0.4552097887153506,-0.31107362860810694,0.23979591836734693,0.6620910065667605,0.5868077989634629,0.7602040816326531,False,
bioasq,Mistral-7B-Instruct-v0.1,392,0.08673469387755102,0.6903977607128657,-0.20631586063753357,0.17857142857142858,0.7361366442086203,0.7539259403675332,0.8214285714285714,True,
bioasq,OpenBioLLM-8B,392,0.06377551020408163,0.743509315977427,-0.21858707401052477,0.18112244897959184,0.7822108059237812,0.7327337038412034,0.8188775510204082,False,
squad2,BioMistral-7B,139,0.1510791366906475,0.5812354540705396,-0.22223270945917256,0.11510791366906475,0.8265443822255165,0.9549881227706685,0.8848920863309353,True,0.6765275387263339
squad2,FLAN-T5-base,139,0.5251798561151079,0.22464433445455032,-0.0866862889916657,0.6402877697841727,0.2537045999259628,0.19385355465240922,0.3597122302158273,False,0.4708476764199656
squad2,Meta-Llama-3-8B-Instruct,139,0.4892086330935252,0.27771946935441877,-0.11366796874218252,0.5971223021582733,0.34488725045671303,0.2993297054884783,0.40287769784172667,False,0.42588209982788294
squad2,Mistral-7B-Instruct-v0.1,139,0.2014388489208633,0.5087818344389853,-0.11012308321120409,0.12949640287769784,0.8033558050456512,0.9419609695342936,0.8705035971223022,True,0.7070783132530121
squad2,OpenBioLLM-8B,139,0.1510791366906475,0.5796397368845528,-0.17103560053350167,0.050359712230215826,0.9553494412087119,0.9889374419963918,0.9496402877697842,True,0.5851979345955249
