instance_id,model_name,mean_accuracy_full,mapping_confidence,pool_config,n_variants,n_assigned,n_unassigned,m_accepted,all_unassigned,n_clusters_full,semantic_entropy_full,normalised_semantic_entropy_full,dominant_cluster_full,is_zero_entropy,n_variants_mesh,n_clusters_mesh,cluster_distribution,semantic_entropy_mesh,normalised_semantic_entropy_mesh,mean_accuracy_mesh,dominant_cluster_mesh,instability_flag
mm_0001412,BERT-base,0.0,1.0,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C1447749,True,5.0,1.0,"{""C1447749"": 5}",-0.0,-0.0,0.0,C1447749,0.0
mm_0001412,BioBERT,0.0,1.0,sapbert_full_len3,5,5,0,4,False,2,0.7219280948873623,0.31091750708257115,C1447749,False,5.0,2.0,"{""C1447749"": 4, ""C0265267"": 1}",0.7219280948873623,0.3109175070825711,0.0,C1447749,0.0
mm_0001412,BioMistral-7B,0.0,1.0,sapbert_full_len3,5,5,0,4,False,2,0.9709505944546686,0.4181656600790516,C0027868,False,,,,,,,,
mm_0001412,FLAN-T5-base,0.0,1.0,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C0027868,True,,,,,,,,
mm_0001412,Llama3-OpenBioLLM-8B,0.0,1.0,sapbert_full_len3,5,5,0,4,False,2,0.9709505944546686,0.4181656600790516,C0027868,False,,,,,,,,
mm_0001412,Meta-Llama-3-8B-Instruct,0.0,1.0,sapbert_full_len3,5,5,0,4,False,2,0.9709505944546686,0.4181656600790516,C0027868,False,,,,,,,,
mm_0001412,Mistral-7B-Instruct-v0.1,0.0,0.9999996423721312,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C0027868,True,,,,,,,,
mm_0001412,PubMedBERT,0.0,1.0,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C1839576,True,5.0,1.0,"{""C1839576"": 5}",-0.0,-0.0,0.0,C1839576,0.0
mm_0001903,BERT-base,0.0,1.0,sapbert_full_len3,6,6,0,5,False,2,0.9182958340544896,0.355245321275764,C0597336,False,6.0,2.0,"{""C0597336"": 4, ""UMLS:C0358514"": 2}",0.9182958340544896,0.355245321275764,0.0,C0597336,0.0
mm_0001903,BioBERT,0.0,1.0,sapbert_full_len3,6,6,0,5,False,3,1.2516291673878228,0.4841962570206112,C1257990,False,6.0,3.0,"{""C1312419"": 1, ""UMLS:C1257990"": 4, ""UMLS:C1707887"": 1}",1.2516291673878228,0.4841962570206112,0.0,UMLS:C1257990,0.0
mm_0001903,BioMistral-7B,0.0,0.9999998807907104,sapbert_full_len3,6,6,0,5,False,1,-0.0,-0.0,C0753802,True,,,,,,,,
mm_0001903,FLAN-T5-base,0.0,0.8898197412490845,sapbert_full_len3,6,6,0,5,False,1,-0.0,-0.0,C0022701,True,,,,,,,,
mm_0001903,Llama3-OpenBioLLM-8B,0.0,0.9999998211860656,sapbert_full_len3,6,6,0,5,False,1,-0.0,-0.0,C0871424,True,,,,,,,,
mm_0001903,Meta-Llama-3-8B-Instruct,0.0,1.0,sapbert_full_len3,6,6,0,5,False,2,0.9182958340544896,0.355245321275764,C0871424,False,,,,,,,,
