dataset,model,signal,coverage,selective_accuracy,risk
MedMentions,BERT-base,combined,1.0,0.038696537678207736,0.9613034623217923
MedMentions,BERT-base,combined,0.95,0.03854389721627409,0.961456102783726
MedMentions,BERT-base,combined,0.9,0.04072398190045249,0.9592760180995475
MedMentions,BERT-base,combined,0.85,0.0430622009569378,0.9569377990430622
MedMentions,BERT-base,combined,0.8,0.043256997455470736,0.9567430025445293
MedMentions,BERT-base,combined,0.75,0.04607046070460705,0.9539295392953929
MedMentions,BERT-base,combined,0.7,0.0436046511627907,0.9563953488372093
MedMentions,BERT-base,combined,0.65,0.046875,0.953125
MedMentions,BERT-base,combined,0.6,0.04406779661016949,0.9559322033898305
MedMentions,BERT-base,combined,0.55,0.04059040590405904,0.959409594095941
MedMentions,BERT-base,combined,0.5,0.036585365853658534,0.9634146341463414
MedMentions,BERT-base,combined,0.45,0.04072398190045249,0.9592760180995475
MedMentions,BERT-base,combined,0.4,0.03553299492385787,0.9644670050761421
MedMentions,BERT-base,combined,0.35,0.03488372093023256,0.9651162790697675
MedMentions,BERT-base,combined,0.3,0.033783783783783786,0.9662162162162162
MedMentions,BERT-base,combined,0.25,0.04065040650406504,0.959349593495935
MedMentions,BERT-base,combined,0.2,0.04040404040404041,0.9595959595959596
MedMentions,BERT-base,combined,0.15,0.04054054054054054,0.9594594594594594
MedMentions,BERT-base,combined,0.1,0.02,0.98
MedMentions,BERT-base,entropy,1.0,0.038696537678207736,0.9613034623217923
MedMentions,BERT-base,entropy,0.95,0.03854389721627409,0.961456102783726
MedMentions,BERT-base,entropy,0.9,0.04072398190045249,0.9592760180995475
MedMentions,BERT-base,entropy,0.85,0.0430622009569378,0.9569377990430622
MedMentions,BERT-base,entropy,0.8,0.043256997455470736,0.9567430025445293
MedMentions,BERT-base,entropy,0.75,0.04607046070460705,0.9539295392953929
MedMentions,BERT-base,entropy,0.7,0.0436046511627907,0.9563953488372093
MedMentions,BERT-base,entropy,0.65,0.046875,0.953125
MedMentions,BERT-base,entropy,0.6,0.04406779661016949,0.9559322033898305
MedMentions,BERT-base,entropy,0.55,0.04059040590405904,0.959409594095941
MedMentions,BERT-base,entropy,0.5,0.036585365853658534,0.9634146341463414
MedMentions,BERT-base,entropy,0.45,0.04072398190045249,0.9592760180995475
MedMentions,BERT-base,entropy,0.4,0.03553299492385787,0.9644670050761421
MedMentions,BERT-base,entropy,0.35,0.03488372093023256,0.9651162790697675
MedMentions,BERT-base,entropy,0.3,0.033783783783783786,0.9662162162162162
MedMentions,BERT-base,entropy,0.25,0.04065040650406504,0.959349593495935
MedMentions,BERT-base,entropy,0.2,0.04040404040404041,0.9595959595959596
MedMentions,BERT-base,entropy,0.15,0.04054054054054054,0.9594594594594594
MedMentions,BERT-base,entropy,0.1,0.02,0.98
MedMentions,BERT-base,mapping_confidence,1.0,0.038696537678207736,0.9613034623217923
MedMentions,BERT-base,mapping_confidence,0.95,0.03854389721627409,0.961456102783726
MedMentions,BERT-base,mapping_confidence,0.9,0.03619909502262444,0.9638009049773756
MedMentions,BERT-base,mapping_confidence,0.85,0.03349282296650718,0.9665071770334929
MedMentions,BERT-base,mapping_confidence,0.8,0.035623409669211195,0.9643765903307888
MedMentions,BERT-base,mapping_confidence,0.75,0.037940379403794036,0.962059620596206
MedMentions,BERT-base,mapping_confidence,0.7,0.0377906976744186,0.9622093023255814
MedMentions,BERT-base,mapping_confidence,0.65,0.0375,0.9625
MedMentions,BERT-base,mapping_confidence,0.6,0.04067796610169491,0.9593220338983051
MedMentions,BERT-base,mapping_confidence,0.55,0.04059040590405904,0.959409594095941
MedMentions,BERT-base,mapping_confidence,0.5,0.04065040650406504,0.959349593495935
MedMentions,BERT-base,mapping_confidence,0.45,0.04072398190045249,0.9592760180995475
MedMentions,BERT-base,mapping_confidence,0.4,0.04568527918781726,0.9543147208121827
MedMentions,BERT-base,mapping_confidence,0.35,0.040697674418604654,0.9593023255813954
MedMentions,BERT-base,mapping_confidence,0.3,0.04054054054054054,0.9594594594594594
MedMentions,BERT-base,mapping_confidence,0.25,0.04878048780487805,0.9512195121951219
MedMentions,BERT-base,mapping_confidence,0.2,0.050505050505050504,0.9494949494949495
MedMentions,BERT-base,mapping_confidence,0.15,0.013513513513513514,0.9864864864864865
MedMentions,BERT-base,mapping_confidence,0.1,0.0,1.0
MedMentions,BERT-base,random,1.0,0.03869653767820773,0.9613034623217923
MedMentions,BERT-base,random,0.95,0.03875802997858672,0.9612419700214133
MedMentions,BERT-base,random,0.9,0.039366515837104064,0.960633484162896
MedMentions,BERT-base,random,0.85,0.03971291866028708,0.960287081339713
MedMentions,BERT-base,random,0.8,0.040458015267175566,0.9595419847328245
MedMentions,BERT-base,random,0.75,0.040379403794037934,0.9596205962059621
MedMentions,BERT-base,random,0.7,0.03997093023255814,0.9600290697674418
MedMentions,BERT-base,random,0.65,0.04,0.96
MedMentions,BERT-base,random,0.6,0.040847457627118645,0.9591525423728814
MedMentions,BERT-base,random,0.55,0.04022140221402214,0.9597785977859778
MedMentions,BERT-base,random,0.5,0.04024390243902439,0.9597560975609756
MedMentions,BERT-base,random,0.45,0.03981900452488687,0.9601809954751132
MedMentions,BERT-base,random,0.4,0.03883248730964468,0.9611675126903553
MedMentions,BERT-base,random,0.35,0.038081395348837206,0.9619186046511627
MedMentions,BERT-base,random,0.3,0.03648648648648649,0.9635135135135136
MedMentions,BERT-base,random,0.25,0.03658536585365853,0.9634146341463414
MedMentions,BERT-base,random,0.2,0.03484848484848486,0.9651515151515151
MedMentions,BERT-base,random,0.15,0.03648648648648649,0.9635135135135136
MedMentions,BERT-base,random,0.1,0.039000000000000014,0.961
MedMentions,BioBERT,combined,1.0,0.07128309572301425,0.9287169042769857
MedMentions,BioBERT,combined,0.95,0.0728051391862955,0.9271948608137045
MedMentions,BioBERT,combined,0.9,0.07692307692307693,0.9230769230769231
MedMentions,BioBERT,combined,0.85,0.08133971291866028,0.9186602870813397
MedMentions,BioBERT,combined,0.8,0.08651399491094147,0.9134860050890585
MedMentions,BioBERT,combined,0.75,0.0921409214092141,0.9078590785907859
MedMentions,BioBERT,combined,0.7,0.09302325581395349,0.9069767441860466
MedMentions,BioBERT,combined,0.65,0.09375,0.90625
MedMentions,BioBERT,combined,0.6,0.09491525423728814,0.9050847457627118
MedMentions,BioBERT,combined,0.55,0.0959409594095941,0.9040590405904059
MedMentions,BioBERT,combined,0.5,0.08943089430894309,0.9105691056910569
MedMentions,BioBERT,combined,0.45,0.09502262443438914,0.9049773755656109
MedMentions,BioBERT,combined,0.4,0.1065989847715736,0.8934010152284264
MedMentions,BioBERT,combined,0.35,0.09883720930232558,0.9011627906976745
MedMentions,BioBERT,combined,0.3,0.0945945945945946,0.9054054054054054
MedMentions,BioBERT,combined,0.25,0.10569105691056911,0.8943089430894309
MedMentions,BioBERT,combined,0.2,0.10101010101010101,0.898989898989899
MedMentions,BioBERT,combined,0.15,0.08108108108108109,0.9189189189189189
MedMentions,BioBERT,combined,0.1,0.08,0.92
MedMentions,BioBERT,entropy,1.0,0.07128309572301425,0.9287169042769857
MedMentions,BioBERT,entropy,0.95,0.0728051391862955,0.9271948608137045
MedMentions,BioBERT,entropy,0.9,0.07692307692307693,0.9230769230769231
MedMentions,BioBERT,entropy,0.85,0.08133971291866028,0.9186602870813397
MedMentions,BioBERT,entropy,0.8,0.08651399491094147,0.9134860050890585
MedMentions,BioBERT,entropy,0.75,0.0921409214092141,0.9078590785907859
MedMentions,BioBERT,entropy,0.7,0.09302325581395349,0.9069767441860466
MedMentions,BioBERT,entropy,0.65,0.09375,0.90625
MedMentions,BioBERT,entropy,0.6,0.09491525423728814,0.9050847457627118
MedMentions,BioBERT,entropy,0.55,0.0959409594095941,0.9040590405904059
MedMentions,BioBERT,entropy,0.5,0.08943089430894309,0.9105691056910569
MedMentions,BioBERT,entropy,0.45,0.09502262443438914,0.9049773755656109
MedMentions,BioBERT,entropy,0.4,0.1065989847715736,0.8934010152284264
MedMentions,BioBERT,entropy,0.35,0.09883720930232558,0.9011627906976745
MedMentions,BioBERT,entropy,0.3,0.0945945945945946,0.9054054054054054
MedMentions,BioBERT,entropy,0.25,0.10569105691056911,0.8943089430894309
MedMentions,BioBERT,entropy,0.2,0.10101010101010101,0.898989898989899
MedMentions,BioBERT,entropy,0.15,0.08108108108108109,0.9189189189189189
MedMentions,BioBERT,entropy,0.1,0.08,0.92
MedMentions,BioBERT,mapping_confidence,1.0,0.07128309572301425,0.9287169042769857
MedMentions,BioBERT,mapping_confidence,0.95,0.06638115631691649,0.9336188436830835
MedMentions,BioBERT,mapping_confidence,0.9,0.06561085972850679,0.9343891402714932
MedMentions,BioBERT,mapping_confidence,0.85,0.0645933014354067,0.9354066985645932
MedMentions,BioBERT,mapping_confidence,0.8,0.06615776081424936,0.9338422391857506
MedMentions,BioBERT,mapping_confidence,0.75,0.07046070460704607,0.929539295392954
MedMentions,BioBERT,mapping_confidence,0.7,0.0755813953488372,0.9244186046511628
MedMentions,BioBERT,mapping_confidence,0.65,0.075,0.925
MedMentions,BioBERT,mapping_confidence,0.6,0.0711864406779661,0.9288135593220339
MedMentions,BioBERT,mapping_confidence,0.55,0.07011070110701106,0.929889298892989
MedMentions,BioBERT,mapping_confidence,0.5,0.07723577235772358,0.9227642276422764
MedMentions,BioBERT,mapping_confidence,0.45,0.07239819004524888,0.9276018099547512
MedMentions,BioBERT,mapping_confidence,0.4,0.07614213197969544,0.9238578680203046
MedMentions,BioBERT,mapping_confidence,0.35,0.05813953488372093,0.9418604651162791
MedMentions,BioBERT,mapping_confidence,0.3,0.05405405405405406,0.9459459459459459
MedMentions,BioBERT,mapping_confidence,0.25,0.056910569105691054,0.943089430894309
MedMentions,BioBERT,mapping_confidence,0.2,0.06060606060606061,0.9393939393939394
MedMentions,BioBERT,mapping_confidence,0.15,0.04054054054054054,0.9594594594594594
MedMentions,BioBERT,mapping_confidence,0.1,0.04,0.96
MedMentions,BioBERT,random,1.0,0.07128309572301424,0.9287169042769857
MedMentions,BioBERT,random,0.95,0.07162740899357602,0.928372591006424
MedMentions,BioBERT,random,0.9,0.07217194570135746,0.9278280542986426
MedMentions,BioBERT,random,0.85,0.07200956937799044,0.9279904306220096
