instance_id,model_name,n_variants,n_clusters,cluster_distribution,semantic_entropy,normalised_semantic_entropy,mean_accuracy,dominant_cluster,instability_flag
mm_0000101,BERT-base,3,1,"{""C0282597"": 3}",-0.0,-0.0,0.0,C0282597,0
mm_0000101,BioBERT,3,1,"{""UMLS:C1257990"": 3}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0000101,PubMedBERT,3,1,"{""C1447749"": 3}",-0.0,-0.0,0.0,C1447749,0
mm_0001412,BERT-base,5,1,"{""C1447749"": 5}",-0.0,-0.0,0.0,C1447749,0
mm_0001412,BioBERT,5,2,"{""C1447749"": 4, ""C0265267"": 1}",0.7219280948873623,0.31091750708257115,0.0,C1447749,0
mm_0001412,PubMedBERT,5,1,"{""C1839576"": 5}",-0.0,-0.0,0.0,C1839576,0
mm_0001903,BERT-base,6,2,"{""C0597336"": 4, ""UMLS:C0358514"": 2}",0.9182958340544896,0.355245321275764,0.0,C0597336,0
mm_0001903,BioBERT,6,3,"{""C1312419"": 1, ""UMLS:C1257990"": 4, ""UMLS:C1707887"": 1}",1.2516291673878228,0.4841962570206112,0.0,UMLS:C1257990,0
mm_0001903,PubMedBERT,6,1,"{""C1839576"": 6}",-0.0,-0.0,0.0,C1839576,0
mm_0001924,BERT-base,6,2,"{""C3850091"": 5, ""UMLS:C0242193"": 1}",0.6500224216483541,0.25146299858006066,0.0,C3850091,0
mm_0001924,BioBERT,6,1,"{""UMLS:C1257990"": 6}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0001924,PubMedBERT,6,1,"{""C1839576"": 6}",-0.0,-0.0,0.0,C1839576,0
mm_0002001,BERT-base,7,1,"{""C1839576"": 7}",-0.0,-0.0,0.0,C1839576,0
mm_0002001,BioBERT,7,1,"{""UMLS:C1707887"": 7}",-0.0,-0.0,0.0,UMLS:C1707887,0
mm_0002001,PubMedBERT,7,1,"{""C1839576"": 7}",-0.0,-0.0,0.0,C1839576,0
mm_0002381,BERT-base,5,2,"{""UMLS:C1257990"": 2, ""C1739108"": 3}",0.9709505944546686,0.4181656600790516,0.0,C1739108,0
mm_0002381,BioBERT,5,1,"{""C5392105"": 5}",-0.0,-0.0,0.0,C5392105,0
mm_0002381,PubMedBERT,5,1,"{""C1839576"": 5}",-0.0,-0.0,0.0,C1839576,0
mm_0003169,BERT-base,5,1,"{""C1447749"": 5}",-0.0,-0.0,0.0,C1447749,0
mm_0003169,BioBERT,5,1,"{""C1447749"": 5}",-0.0,-0.0,0.0,C1447749,0
mm_0003169,PubMedBERT,5,1,"{""C1447749"": 5}",-0.0,-0.0,0.0,C1447749,0
mm_0004408,BERT-base,5,1,"{""UMLS:C1257990"": 5}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0004408,BioBERT,5,1,"{""UMLS:C1257990"": 5}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0004408,PubMedBERT,5,1,"{""C1447749"": 5}",-0.0,-0.0,0.0,C1447749,0
mm_0004613,BERT-base,5,1,"{""C3714500"": 5}",-0.0,-0.0,0.0,C3714500,0
mm_0004613,BioBERT,5,2,"{""UMLS:C1257990"": 2, ""UMLS:C1707887"": 3}",0.9709505944546686,0.4181656600790516,0.0,UMLS:C1707887,0
mm_0004613,PubMedBERT,5,2,"{""C1839576"": 4, ""C1447749"": 1}",0.7219280948873623,0.31091750708257115,0.0,C1839576,0
mm_0007063,BERT-base,3,2,"{""UMLS:C3808257"": 2, ""C1739108"": 1}",0.9182958340544896,0.579380164285695,0.0,UMLS:C3808257,1
mm_0007063,BioBERT,3,1,"{""C0149678"": 3}",-0.0,-0.0,0.0,C0149678,0
mm_0007063,PubMedBERT,3,2,"{""C1839576"": 2, ""C1447749"": 1}",0.9182958340544896,0.579380164285695,0.0,C1839576,1
mm_0007146,BERT-base,5,2,"{""UMLS:C1257990"": 3, ""UMLS:C0242193"": 2}",0.9709505944546686,0.4181656600790516,0.0,UMLS:C1257990,0
mm_0007146,BioBERT,5,1,"{""UMLS:C1257990"": 5}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0007146,PubMedBERT,5,2,"{""C1447749"": 3, ""C1839576"": 2}",0.9709505944546686,0.4181656600790516,0.0,C1447749,0
mm_0007303,BERT-base,7,1,"{""UMLS:C1257990"": 7}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0007303,BioBERT,7,1,"{""C2935436"": 7}",-0.0,-0.0,0.0,C2935436,0
mm_0007303,PubMedBERT,7,1,"{""C1839576"": 7}",-0.0,-0.0,0.0,C1839576,0
mm_0007332,BERT-base,5,2,"{""C1839576"": 3, ""C1739108"": 2}",0.9709505944546686,0.4181656600790516,0.0,C1839576,0
mm_0007332,BioBERT,5,1,"{""C5392105"": 5}",-0.0,-0.0,0.0,C5392105,0
mm_0007332,PubMedBERT,5,1,"{""C1839576"": 5}",-0.0,-0.0,0.0,C1839576,0
mm_0007533,BERT-base,5,2,"{""C1431519"": 3, ""UMLS:C1283169"": 2}",0.9709505944546686,0.4181656600790516,0.0,C1431519,0
mm_0007533,BioBERT,5,2,"{""C0265267"": 1, ""C1447749"": 4}",0.7219280948873623,0.31091750708257115,0.0,C1447749,0
mm_0007533,PubMedBERT,5,2,"{""C1447749"": 3, ""C1839576"": 2}",0.9709505944546686,0.4181656600790516,0.0,C1447749,0
mm_0007731,BERT-base,6,1,"{""C1447749"": 6}",-0.0,-0.0,0.0,C1447749,0
mm_0007731,BioBERT,6,1,"{""C1868801"": 6}",-0.0,-0.0,0.0,C1868801,0
mm_0007731,PubMedBERT,6,1,"{""C1839576"": 6}",-0.0,-0.0,0.0,C1839576,0
mm_0007841,BERT-base,7,1,"{""C0027609"": 7}",-0.0,-0.0,0.0,C0027609,0
mm_0007841,BioBERT,7,2,"{""UMLS:C1257990"": 6, ""C0027609"": 1}",0.5916727785823275,0.21075809614719848,0.0,UMLS:C1257990,0
mm_0007841,PubMedBERT,7,2,"{""C1839576"": 5, ""C1447749"": 2}",0.863120568566631,0.30744974986419643,0.0,C1839576,0
mm_0008028,BERT-base,4,1,"{""C0203379"": 4}",-0.0,-0.0,0.0,C0203379,0
mm_0008028,BioBERT,4,1,"{""UMLS:C1707887"": 4}",-0.0,-0.0,0.0,UMLS:C1707887,0
mm_0008028,PubMedBERT,4,1,"{""C1447749"": 4}",-0.0,-0.0,0.0,C1447749,0
mm_0008123,BERT-base,7,2,"{""UMLS:C0444254"": 1, ""UMLS:C0243095"": 6}",0.5916727785823275,0.21075809614719848,0.0,UMLS:C0243095,0
mm_0008123,BioBERT,7,2,"{""UMLS:C1257990"": 6, ""UMLS:C1707887"": 1}",0.5916727785823275,0.21075809614719848,0.0,UMLS:C1257990,0
mm_0008123,PubMedBERT,7,1,"{""C1839576"": 7}",-0.0,-0.0,0.0,C1839576,0
mm_0008783,BERT-base,3,1,"{""C0059563"": 3}",-0.0,-0.0,0.0,C0059563,0
mm_0008783,BioBERT,3,1,"{""C0018966"": 3}",-0.0,-0.0,0.0,C0018966,0
mm_0008783,PubMedBERT,3,1,"{""C0015131"": 3}",-0.0,-0.0,0.0,C0015131,0
mm_0008874,BERT-base,7,1,"{""C0282597"": 7}",-0.0,-0.0,0.0,C0282597,0
mm_0008874,BioBERT,7,2,"{""UMLS:C1257990"": 6, ""C1447749"": 1}",0.5916727785823275,0.21075809614719848,0.0,UMLS:C1257990,0
mm_0008874,PubMedBERT,7,2,"{""C1839576"": 3, ""C1447749"": 4}",0.9852281360342515,0.35094534299644053,0.0,C1447749,0
mm_0008935,BERT-base,7,1,"{""UMLS:C1257990"": 7}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0008935,BioBERT,7,1,"{""C0752615"": 7}",-0.0,-0.0,0.0,C0752615,0
mm_0008935,PubMedBERT,7,2,"{""C1839576"": 6, ""C1447749"": 1}",0.5916727785823275,0.21075809614719848,0.0,C1839576,0
mm_0009136,BERT-base,5,1,"{""UMLS:C1257990"": 5}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0009136,BioBERT,5,2,"{""UMLS:C1257990"": 3, ""C0258846"": 2}",0.9709505944546686,0.4181656600790516,0.0,UMLS:C1257990,0
mm_0009136,PubMedBERT,5,1,"{""C1447749"": 5}",-0.0,-0.0,0.0,C1447749,0
mm_0009327,BERT-base,7,2,"{""C1447749"": 5, ""C4277543"": 2}",0.863120568566631,0.30744974986419643,0.0,C1447749,0
