instance_id,model_name,mean_accuracy_full,mapping_confidence,pool_config,n_variants,n_assigned,n_unassigned,m_accepted,all_unassigned,n_clusters_full,semantic_entropy_full,normalised_semantic_entropy_full,dominant_cluster_full,is_zero_entropy,n_variants_mesh,n_clusters_mesh,cluster_distribution,semantic_entropy_mesh,normalised_semantic_entropy_mesh,mean_accuracy_mesh,dominant_cluster_mesh,instability_flag,n_retrieval_rows,margin_original,margin_mean,margin_min,s1_mean,s2_mean
mm_0001412,BERT-base,0.0,1.0,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C1447749,True,5.0,1.0,"{""C1447749"": 5}",-0.0,-0.0,0.0,C1447749,0.0,5.0,-0.6245346069335938,-0.6245346069335938,-0.6245346069335938,0.3754647970199585,0.9999994039535522
mm_0001412,BioBERT,0.0,1.0,sapbert_full_len3,5,5,0,4,False,2,0.7219280948873623,0.3109175070825711,C1447749,False,5.0,2.0,"{""C1447749"": 4, ""C0265267"": 1}",0.7219280948873623,0.3109175070825711,0.0,C1447749,0.0,5.0,-0.6245346069335938,-0.6293412446975708,-0.648567795753479,0.37065815925598145,0.9999994039535522
mm_0001412,BioMistral-7B,0.0,1.0,sapbert_full_len3,5,5,0,4,False,2,0.9709505944546686,0.4181656600790516,C0027868,False,,,,,,,,,5.0,0.1285309791564941,0.1176797151565551,0.1014028191566467,1.0,0.8823202848434448
mm_0001412,FLAN-T5-base,0.0,1.0,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C0027868,True,,,,,,,,,5.0,0.1285309791564941,0.1201766490936279,0.1076451539993286,1.0,0.8798233270645142
mm_0001412,Llama3-OpenBioLLM-8B,0.0,1.0,sapbert_full_len3,5,5,0,4,False,2,0.9709505944546686,0.4181656600790516,C0027868,False,,,,,,,,,5.0,0.1076451539993286,0.0729415893554687,4.172325134277344e-07,0.999999952316284,0.9270583987236024
mm_0001412,Meta-Llama-3-8B-Instruct,0.0,1.0,sapbert_full_len3,5,5,0,4,False,2,0.9709505944546686,0.4181656600790516,C0027868,False,,,,,,,,,5.0,0.1076451539993286,0.1347511529922485,0.1076451539993286,1.0,0.8652488589286804
mm_0001412,Mistral-7B-Instruct-v0.1,0.0,0.9999996423721312,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C0027868,True,,,,,,,,,5.0,0.1285306215286253,0.1201763629913329,0.1076449751853941,0.9999997138977048,0.8798233270645142
mm_0001412,PubMedBERT,0.0,1.0,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C1839576,True,5.0,1.0,"{""C1839576"": 5}",-0.0,-0.0,0.0,C1839576,0.0,5.0,-0.662432074546814,-0.662432074546814,-0.662432074546814,0.33756735920906067,0.9999994039535522
mm_0001903,BERT-base,0.0,1.0,sapbert_full_len3,6,6,0,5,False,2,0.9182958340544896,0.355245321275764,C0597336,False,6.0,2.0,"{""C0597336"": 4, ""UMLS:C0358514"": 2}",0.9182958340544896,0.355245321275764,0.0,C0597336,0.0,6.0,-0.43679067492485046,-0.4405916631221771,-0.44819360971450806,0.40676435828208923,0.8473560214042664
mm_0001903,BioBERT,0.0,1.0,sapbert_full_len3,6,6,0,5,False,3,1.2516291673878228,0.4841962570206112,C1257990,False,6.0,3.0,"{""C1312419"": 1, ""UMLS:C1257990"": 4, ""UMLS:C1707887"": 1}",1.2516291673878228,0.4841962570206112,0.0,UMLS:C1257990,0.0,6.0,-0.4814133644104004,-0.5051097273826599,-0.5619019269943237,0.34224629402160645,0.8473560214042664
mm_0001903,BioMistral-7B,0.0,0.9999998807907104,sapbert_full_len3,6,6,0,5,False,1,-0.0,-0.0,C0753802,True,,,,,,,,,6.0,6.556510925292969e-07,6.556510925292969e-07,6.556510925292969e-07,0.9999998807907104,0.999999225139618
mm_0001903,FLAN-T5-base,0.0,0.8898197412490845,sapbert_full_len3,6,6,0,5,False,1,-0.0,-0.0,C0022701,True,,,,,,,,,6.0,-0.026979923248291,-0.0242772698402404,-0.026979923248291,0.8830374479293823,0.9073147177696228
mm_0001903,Llama3-OpenBioLLM-8B,0.0,0.9999998211860656,sapbert_full_len3,6,6,0,5,False,1,-0.0,-0.0,C0871424,True,,,,,,,,,6.0,0.0608150959014891,0.0608150959014891,0.0608150959014891,0.9999998211860656,0.9391847252845764
mm_0001903,Meta-Llama-3-8B-Instruct,0.0,1.0,sapbert_full_len3,6,6,0,5,False,2,0.9182958340544896,0.355245321275764,C0871424,False,,,,,,,,,6.0,0.0608152747154235,0.040543774763743,7.748603820800781e-07,1.0,0.959456205368042
mm_0001903,Mistral-7B-Instruct-v0.1,0.0,1.0,sapbert_full_len3,6,6,0,5,False,2,0.9182958340544896,0.355245321275764,C0753802,False,,,,,,,,,6.0,7.748603820800781e-07,0.020261267820994,6.556510925292969e-07,0.9999998211860656,0.9797385334968568
mm_0001903,PubMedBERT,0.0,1.0,sapbert_full_len3,6,6,0,5,False,1,-0.0,-0.0,C1839576,True,6.0,1.0,"{""C1839576"": 6}",-0.0,-0.0,0.0,C1839576,0.0,6.0,-0.4767037332057953,-0.4767037332057953,-0.4767037332057953,0.37065228819847107,0.8473560214042664
mm_0001924,BERT-base,0.0,1.0,sapbert_full_len3,6,6,0,5,False,2,0.6500224216483541,0.2514629985800606,C3850091,False,6.0,2.0,"{""C3850091"": 5, ""UMLS:C0242193"": 1}",0.6500224216483541,0.2514629985800606,0.0,C3850091,0.0,6.0,-0.6461336016654968,-0.6477059125900269,-0.6555675268173218,0.35229364037513733,0.9999995827674866
mm_0001924,BioBERT,0.0,1.0,sapbert_full_len3,6,6,0,5,False,1,-0.0,-0.0,C1257990,True,6.0,1.0,"{""UMLS:C1257990"": 6}",-0.0,-0.0,0.0,UMLS:C1257990,0.0,6.0,-0.7337849140167236,-0.7337849140167236,-0.7337849140167236,0.26621463894844055,0.9999995827674866
mm_0001924,BioMistral-7B,1.0,1.0,sapbert_full_len3,6,6,0,5,False,3,1.2516291673878228,0.4841962570206112,C0043210,False,,,,,,,,,6.0,0.0916167497634887,0.0501188337802886,1.1920928943975897e-07,0.9999999205271404,0.949881076812744
mm_0001924,FLAN-T5-base,0.0,0.9999998807907104,sapbert_full_len3,6,6,0,5,False,3,1.2516291673878228,0.4841962570206112,C3872897,False,,,,,,,,,6.0,2.980232238769531e-07,3.278255462646485e-07,1.1920928955078125e-07,0.9999999701976776,0.9999995827674866
