dataset,model,n,signal,aurc_point,ci_low,ci_high,B
CADEC,BERT-base,4712,entropy,0.45964661337166557,0.4438037630933203,0.47720439011947463,20000
CADEC,BERT-base,4712,confidence,0.46482205355743755,0.4487018065508756,0.4822104263836523,20000
CADEC,BERT-base,4712,margin,0.731335068366594,0.7197397934467744,0.7426311177926962,20000
CADEC,BERT-base,4712,combined,0.4430688470886898,0.4258943295793281,0.459568374731099,20000
CADEC,BERT-base,4712,combined_3,0.5350623667962306,0.5187705644230741,0.5515631590443424,20000
CADEC,BioBERT,4712,entropy,0.3291344757141022,0.31674016580739134,0.3486130493319329,20000
CADEC,BioBERT,4712,confidence,0.33499895624456566,0.31919650403403915,0.3507039111270364,20000
CADEC,BioBERT,4712,margin,0.61672867649824,0.6021035242792785,0.6312335918948638,20000
CADEC,BioBERT,4712,combined,0.3033990379492636,0.28769283631384984,0.3182994592305009,20000
CADEC,BioBERT,4712,combined_3,0.3428425827478068,0.3273243612707711,0.35909924744507116,20000
CADEC,PubMedBERT,4712,entropy,0.3288575402132679,0.3175148972586012,0.3490097878022343,20000
CADEC,PubMedBERT,4712,confidence,0.32655756328122265,0.3120790468257628,0.3433399072217387,20000
CADEC,PubMedBERT,4712,margin,0.6203850000870947,0.6056621634999848,0.6348107129764572,20000
CADEC,PubMedBERT,4712,combined,0.3045470055091704,0.28921761279902086,0.31954926735169503,20000
CADEC,PubMedBERT,4712,combined_3,0.342007363342269,0.32572280460109143,0.3578589455170855,20000
CADEC,FLAN-T5-base,4712,entropy,0.6887196500157173,0.6784434487146915,0.706892266017174,20000
CADEC,FLAN-T5-base,4712,confidence,0.7419570964012306,0.7310505879152592,0.7558906497119994,20000
CADEC,FLAN-T5-base,4712,margin,0.7202994622823027,0.7072155024605431,0.7338219684939242,20000
CADEC,FLAN-T5-base,4712,combined,0.6959646109010617,0.682239805188335,0.7106721329663596,20000
CADEC,FLAN-T5-base,4712,combined_3,0.7044145365307394,0.6907448199225734,0.7191391664832669,20000
CADEC,BioMistral-7B,4711,entropy,0.689901551331963,0.673731721370639,0.7028247360222921,20000
CADEC,BioMistral-7B,4711,confidence,0.73778575522827,0.7243909475776886,0.7502097259369777,20000
CADEC,BioMistral-7B,4711,margin,0.7411941137554541,0.7287507924053439,0.7536473009006278,20000
CADEC,BioMistral-7B,4711,combined,0.6885258800579787,0.6739474434892281,0.7032147350744284,20000
CADEC,BioMistral-7B,4711,combined_3,0.7109962449742394,0.6976178356282005,0.7249675941998358,20000
CADEC,Mistral-7B-Instruct-v0.1,4712,entropy,0.7425355729668355,0.7300987537577485,0.7561165917128533,20000
CADEC,Mistral-7B-Instruct-v0.1,4712,confidence,0.782983657802556,0.7722452682856555,0.7945840529210172,20000
CADEC,Mistral-7B-Instruct-v0.1,4712,margin,0.78881928549397,0.7774347747764715,0.7992105763709738,20000
CADEC,Mistral-7B-Instruct-v0.1,4712,combined,0.745039945469862,0.7322443359706631,0.758196312402125,20000
CADEC,Mistral-7B-Instruct-v0.1,4712,combined_3,0.7679380750976191,0.7557074549018113,0.7795547212481806,20000
CADEC,Llama3-OpenBioLLM-8B,4712,entropy,0.7920406760796603,0.7802051994767005,0.8038893709232384,20000
CADEC,Llama3-OpenBioLLM-8B,4712,confidence,0.8253643847970297,0.8162772744171416,0.8344718557269309,20000
CADEC,Llama3-OpenBioLLM-8B,4712,margin,0.842530735511398,0.8345914208745089,0.8501837404119394,20000
CADEC,Llama3-OpenBioLLM-8B,4712,combined,0.7917710278662246,0.7797925627754443,0.8035166018735792,20000
CADEC,Llama3-OpenBioLLM-8B,4712,combined_3,0.8148492698190812,0.8044780240876197,0.8246909525755449,20000
CADEC,Meta-Llama-3-8B-Instruct,4712,entropy,0.766114699734674,0.7537847897005814,0.7791175710688398,20000
CADEC,Meta-Llama-3-8B-Instruct,4712,confidence,0.7968455669733023,0.7863738707055475,0.8081629713727179,20000
CADEC,Meta-Llama-3-8B-Instruct,4712,margin,0.809086815139468,0.7990655739934314,0.8190051770143844,20000
CADEC,Meta-Llama-3-8B-Instruct,4712,combined,0.7657730268211866,0.7526970639003681,0.778174329200214,20000
CADEC,Meta-Llama-3-8B-Instruct,4712,combined_3,0.7767632011955051,0.764356901381288,0.78886853975426,20000
