dataset,model,n,signal,aurc_point,ci_low,ci_high,B
CADEC,BERT-base,4712,entropy,0.45964661337166557,0.4438037630933203,0.47720439011947463,20000
CADEC,BERT-base,4712,confidence,0.46482205355743755,0.4487018065508756,0.4822104263836523,20000
CADEC,BERT-base,4712,margin,0.731335068366594,0.7197397934467744,0.7426311177926962,20000
CADEC,BERT-base,4712,combined,0.4430688470886898,0.4258943295793281,0.459568374731099,20000
CADEC,BERT-base,4712,combined_3,0.5350623667962306,0.5187705644230741,0.5515631590443424,20000
CADEC,BioBERT,4712,entropy,0.3291344757141022,0.31674016580739134,0.3486130493319329,20000
CADEC,BioBERT,4712,confidence,0.33499895624456566,0.31919650403403915,0.3507039111270364,20000
CADEC,BioBERT,4712,margin,0.61672867649824,0.6021035242792785,0.6312335918948638,20000
CADEC,BioBERT,4712,combined,0.3033990379492636,0.28769283631384984,0.3182994592305009,20000
CADEC,BioBERT,4712,combined_3,0.3428425827478068,0.3273243612707711,0.35909924744507116,20000
CADEC,PubMedBERT,4712,entropy,0.3288575402132679,0.3175148972586012,0.3490097878022343,20000
CADEC,PubMedBERT,4712,confidence,0.32655756328122265,0.3120790468257628,0.3433399072217387,20000
CADEC,PubMedBERT,4712,margin,0.6203850000870947,0.6056621634999848,0.6348107129764572,20000
CADEC,PubMedBERT,4712,combined,0.3045470055091704,0.28921761279902086,0.31954926735169503,20000
CADEC,PubMedBERT,4712,combined_3,0.342007363342269,0.32572280460109143,0.3578589455170855,20000
CADEC,FLAN-T5-base,4712,entropy,0.6887196500157173,0.6784434487146915,0.706892266017174,20000
CADEC,FLAN-T5-base,4712,confidence,0.7419570964012306,0.7310505879152592,0.7558906497119994,20000
CADEC,FLAN-T5-base,4712,margin,0.7202994622823027,0.7072155024605431,0.7338219684939242,20000
CADEC,FLAN-T5-base,4712,combined,0.6959646109010617,0.682239805188335,0.7106721329663596,20000
CADEC,FLAN-T5-base,4712,combined_3,0.7044145365307394,0.6907448199225734,0.7191391664832669,20000
CADEC,BioMistral-7B,4711,entropy,0.689279681598507,0.6731617311930714,0.7023421385512204,20000
CADEC,BioMistral-7B,4711,confidence,0.73778575522827,0.7244092579578847,0.7502158912080926,20000
CADEC,BioMistral-7B,4711,margin,0.7411941137554541,0.7287507924053439,0.7536473009006278,20000
CADEC,BioMistral-7B,4711,combined,0.6881390202618319,0.6736474728177716,0.7029245584431926,20000
CADEC,BioMistral-7B,4711,combined_3,0.7109175691805473,0.6975121614957196,0.7248725294157695,20000
CADEC,Mistral-7B-Instruct-v0.1,4712,entropy,0.7425214246929248,0.7300987537577485,0.7561165917128533,20000
CADEC,Mistral-7B-Instruct-v0.1,4712,confidence,0.7829948259955424,0.7722490447202512,0.7945884670558437,20000
CADEC,Mistral-7B-Instruct-v0.1,4712,margin,0.78881928549397,0.7774347747764715,0.7992105763709738,20000
CADEC,Mistral-7B-Instruct-v0.1,4712,combined,0.745039945469862,0.7322443359706631,0.758196312402125,20000
CADEC,Mistral-7B-Instruct-v0.1,4712,combined_3,0.7679380750976191,0.7557074549018113,0.7795627201484395,20000
CADEC,Llama3-OpenBioLLM-8B,4712,entropy,0.7920113716978381,0.7801791982080114,0.8038653460108766,20000
CADEC,Llama3-OpenBioLLM-8B,4712,confidence,0.8253643847970297,0.8162791703330815,0.8344746271898723,20000
CADEC,Llama3-OpenBioLLM-8B,4712,margin,0.842530735511398,0.8345914208745089,0.8501837404119394,20000
CADEC,Llama3-OpenBioLLM-8B,4712,combined,0.7917370236612706,0.7797539775611424,0.8035020014819133,20000
CADEC,Llama3-OpenBioLLM-8B,4712,combined_3,0.8148315894796188,0.8044745638522602,0.8246704572798409,20000
CADEC,Meta-Llama-3-8B-Instruct,4712,entropy,0.766114699734674,0.7537847897005814,0.7791175710688398,20000
CADEC,Meta-Llama-3-8B-Instruct,4712,confidence,0.7968455669733023,0.7863738707055475,0.8081629713727179,20000
CADEC,Meta-Llama-3-8B-Instruct,4712,margin,0.809086815139468,0.7990655739934314,0.8190051770143844,20000
CADEC,Meta-Llama-3-8B-Instruct,4712,combined,0.7657730268211866,0.7526925976206662,0.778174329200214,20000
CADEC,Meta-Llama-3-8B-Instruct,4712,combined_3,0.7767632011955051,0.764356901381288,0.78886853975426,20000
