dataset,model,signal,coverage,selective_accuracy,risk
CADEC,BERT-base,combined,1.0,0.3155759393191039,0.6844240606808961
CADEC,BERT-base,combined,0.95,0.3321574452283699,0.6678425547716301
CADEC,BERT-base,combined,0.9,0.35057809131883205,0.6494219086811679
CADEC,BERT-base,combined,0.85,0.37061631043785015,0.6293836895621499
CADEC,BERT-base,combined,0.8,0.39307760141093473,0.6069223985890653
CADEC,BERT-base,combined,0.75,0.4172154280338664,0.5827845719661335
CADEC,BERT-base,combined,0.7,0.4351221970269589,0.564877802973041
CADEC,BERT-base,combined,0.65,0.45210312075983716,0.5478968792401628
CADEC,BERT-base,combined,0.6,0.4729570840681952,0.5270429159318049
CADEC,BERT-base,combined,0.55,0.4923027581783194,0.5076972418216805
CADEC,BERT-base,combined,0.5,0.5259259259259259,0.4740740740740741
CADEC,BERT-base,combined,0.45,0.5505485893416928,0.4494514106583072
CADEC,BERT-base,combined,0.4,0.550705467372134,0.449294532627866
CADEC,BERT-base,combined,0.35,0.5380352644836272,0.46196473551637285
CADEC,BERT-base,combined,0.3,0.5902410346854792,0.40975896531452083
CADEC,BERT-base,combined,0.25,0.6748942172073342,0.3251057827926658
CADEC,BERT-base,combined,0.2,0.7107583774250441,0.2892416225749559
CADEC,BERT-base,combined,0.15,0.7473560517038778,0.25264394829612224
CADEC,BERT-base,combined,0.1,0.7654320987654321,0.23456790123456794
CADEC,BERT-base,entropy,1.0,0.3155759393191039,0.6844240606808961
CADEC,BERT-base,entropy,0.95,0.3321574452283699,0.6678425547716301
CADEC,BERT-base,entropy,0.9,0.35057809131883205,0.6494219086811679
CADEC,BERT-base,entropy,0.85,0.37061631043785015,0.6293836895621499
CADEC,BERT-base,entropy,0.8,0.39307760141093473,0.6069223985890653
CADEC,BERT-base,entropy,0.75,0.41415804327375355,0.5858419567262465
CADEC,BERT-base,entropy,0.7,0.43386243386243384,0.5661375661375662
CADEC,BERT-base,entropy,0.65,0.4507462686567164,0.5492537313432836
CADEC,BERT-base,entropy,0.6,0.47001763668430335,0.5299823633156966
CADEC,BERT-base,entropy,0.55,0.4903784477228993,0.5096215522771007
CADEC,BERT-base,entropy,0.5,0.5047619047619047,0.49523809523809526
CADEC,BERT-base,entropy,0.45,0.5058777429467085,0.4941222570532915
CADEC,BERT-base,entropy,0.4,0.5074955908289241,0.49250440917107585
CADEC,BERT-base,entropy,0.35,0.507808564231738,0.49219143576826196
CADEC,BERT-base,entropy,0.3,0.5079365079365079,0.4920634920634921
CADEC,BERT-base,entropy,0.25,0.5169252468265162,0.4830747531734838
CADEC,BERT-base,entropy,0.2,0.5079365079365079,0.4920634920634921
CADEC,BERT-base,entropy,0.15,0.4982373678025852,0.5017626321974148
CADEC,BERT-base,entropy,0.1,0.49559082892416223,0.5044091710758378
CADEC,BERT-base,mapping_confidence,1.0,0.3155759393191039,0.6844240606808961
CADEC,BERT-base,mapping_confidence,0.95,0.3321574452283699,0.6678425547716301
CADEC,BERT-base,mapping_confidence,0.9,0.34901038604742307,0.6509896139525769
CADEC,BERT-base,mapping_confidence,0.85,0.3641834405478315,0.6358165594521685
CADEC,BERT-base,mapping_confidence,0.8,0.38602292768959434,0.6139770723104057
CADEC,BERT-base,mapping_confidence,0.75,0.409689557855127,0.590310442144873
CADEC,BERT-base,mapping_confidence,0.7,0.4200050390526581,0.5799949609473418
CADEC,BERT-base,mapping_confidence,0.65,0.4371777476255088,0.5628222523744912
CADEC,BERT-base,mapping_confidence,0.6,0.45091122868900646,0.5490887713109935
CADEC,BERT-base,mapping_confidence,0.55,0.4573444515715202,0.5426555484284799
CADEC,BERT-base,mapping_confidence,0.5,0.454673721340388,0.545326278659612
CADEC,BERT-base,mapping_confidence,0.45,0.4827586206896552,0.5172413793103448
CADEC,BERT-base,mapping_confidence,0.4,0.5238095238095238,0.47619047619047616
CADEC,BERT-base,mapping_confidence,0.35,0.581360201511335,0.41863979848866495
CADEC,BERT-base,mapping_confidence,0.3,0.6566725455614344,0.3433274544385656
CADEC,BERT-base,mapping_confidence,0.25,0.6622002820874471,0.3377997179125529
CADEC,BERT-base,mapping_confidence,0.2,0.7028218694885362,0.2971781305114638
CADEC,BERT-base,mapping_confidence,0.15,0.7356051703877791,0.26439482961222094
CADEC,BERT-base,mapping_confidence,0.1,0.7601410934744268,0.23985890652557318
CADEC,BERT-base,random,1.0,0.31557593931910394,0.684424060680896
CADEC,BERT-base,random,0.95,0.3154567396955068,0.6845432603044932
CADEC,BERT-base,random,0.9,0.3153831079757006,0.6846168920242994
CADEC,BERT-base,random,0.85,0.3153040049802863,0.6846959950197137
CADEC,BERT-base,random,0.8,0.31457231040564376,0.6854276895943563
CADEC,BERT-base,random,0.75,0.31446378174976475,0.6855362182502353
CADEC,BERT-base,random,0.7,0.31386999244142105,0.686130007558579
CADEC,BERT-base,random,0.65,0.3141519674355495,0.6858480325644505
CADEC,BERT-base,random,0.6,0.31378600823045266,0.6862139917695473
CADEC,BERT-base,random,0.55,0.31347017318794096,0.686529826812059
CADEC,BERT-base,random,0.5,0.312962962962963,0.687037037037037
CADEC,BERT-base,random,0.45,0.3118926332288401,0.6881073667711599
CADEC,BERT-base,random,0.4,0.3109126984126984,0.6890873015873016
CADEC,BERT-base,random,0.35,0.3124181360201511,0.6875818639798489
CADEC,BERT-base,random,0.3,0.3125220458553791,0.6874779541446209
CADEC,BERT-base,random,0.25,0.3129407616361072,0.6870592383638928
CADEC,BERT-base,random,0.2,0.3121693121693122,0.6878306878306878
CADEC,BERT-base,random,0.15,0.3116921269095182,0.6883078730904818
CADEC,BERT-base,random,0.1,0.3132275132275132,0.6867724867724868
CADEC,BioBERT,combined,1.0,0.4103016405009702,0.5896983594990298
CADEC,BioBERT,combined,0.95,0.43167471221685855,0.5683252877831415
CADEC,BioBERT,combined,0.9,0.4552224181853812,0.5447775818146188
CADEC,BioBERT,combined,0.85,0.4810126582278481,0.5189873417721519
CADEC,BioBERT,combined,0.8,0.5105820105820106,0.4894179894179894
CADEC,BioBERT,combined,0.75,0.5411571025399812,0.45884289746001883
CADEC,BioBERT,combined,0.7,0.5731922398589065,0.42680776014109345
CADEC,BioBERT,combined,0.65,0.6127544097693352,0.38724559023066485
CADEC,BioBERT,combined,0.6,0.6504997060552616,0.34950029394473836
CADEC,BioBERT,combined,0.55,0.6972418216805645,0.3027581783194355
CADEC,BioBERT,combined,0.5,0.7171075837742504,0.28289241622574957
CADEC,BioBERT,combined,0.45,0.7370689655172413,0.2629310344827587
CADEC,BioBERT,combined,0.4,0.75,0.25
CADEC,BioBERT,combined,0.35,0.744080604534005,0.25591939546599496
CADEC,BioBERT,combined,0.3,0.7489711934156379,0.2510288065843621
CADEC,BioBERT,combined,0.25,0.7440056417489421,0.2559943582510579
CADEC,BioBERT,combined,0.2,0.7522045855379189,0.2477954144620811
CADEC,BioBERT,combined,0.15,0.7602820211515864,0.23971797884841362
CADEC,BioBERT,combined,0.1,0.7619047619047619,0.23809523809523814
CADEC,BioBERT,entropy,1.0,0.4103016405009702,0.5896983594990298
CADEC,BioBERT,entropy,0.95,0.43167471221685855,0.5683252877831415
CADEC,BioBERT,entropy,0.9,0.4554183813443073,0.5445816186556927
CADEC,BioBERT,entropy,0.85,0.4810126582278481,0.5189873417721519
CADEC,BioBERT,entropy,0.8,0.5105820105820106,0.4894179894179894
CADEC,BioBERT,entropy,0.75,0.5395108184383819,0.4604891815616181
CADEC,BioBERT,entropy,0.7,0.5731922398589065,0.42680776014109345
