dataset,model,signal,n,risk_at_90,risk_at_75,risk_at_50
CADEC,BERT-base,entropy,4712,0.6208441405328932,0.5517826825127334,0.4554329371816639
CADEC,BERT-base,confidence,4712,0.6215515208677198,0.5585738539898133,0.5207979626485568
CADEC,BERT-base,margin,4712,0.6746050459797217,0.7303338992642898,0.8488964346349746
CADEC,BERT-base,combined,4712,0.6208441405328932,0.5489530277306169,0.4537351443123939
CADEC,BERT-base,combined_3,4712,0.6206083470879509,0.5608375778155066,0.548811544991511
CADEC,BioBERT,entropy,4712,0.5109643951898137,0.4176570458404074,0.3094227504244482
CADEC,BioBERT,confidence,4712,0.513322329639236,0.4309564233163554,0.3196095076400679
CADEC,BioBERT,margin,4712,0.5710917236500825,0.6001697792869269,0.6901528013582343
CADEC,BioBERT,combined,4712,0.5109643951898137,0.4176570458404074,0.24915110356536507
CADEC,BioBERT,combined_3,4712,0.5121433624145248,0.4335031126202603,0.33404074702886244
CADEC,PubMedBERT,entropy,4712,0.5142655034190049,0.42105263157894735,0.3081494057724957
CADEC,PubMedBERT,confidence,4712,0.5152086771987738,0.431239388794567,0.3136672325976231
CADEC,PubMedBERT,margin,4712,0.5727422777646781,0.6061120543293719,0.6965195246179966
CADEC,PubMedBERT,combined,4712,0.5142655034190049,0.4196378041878891,0.25551782682512736
CADEC,PubMedBERT,combined_3,4712,0.5149728837538317,0.43237125070741367,0.3255517826825127
CADEC,FLAN-T5-base,entropy,4712,0.8094788964866777,0.7948500282965478,0.7584889643463497
CADEC,FLAN-T5-base,confidence,4712,0.8141947653855223,0.822014714204867,0.8310696095076401
CADEC,FLAN-T5-base,margin,4712,0.8118368309360999,0.8067345783814375,0.7932937181663837
CADEC,FLAN-T5-base,combined,4712,0.8094788964866777,0.7951329937747595,0.7623089983022071
CADEC,FLAN-T5-base,combined_3,4712,0.8104220702664466,0.7959818902093945,0.7907470288624787
CADEC,BioMistral-7B,entropy,4711,0.8108490566037736,0.7917374080362196,0.7559422750424448
CADEC,BioMistral-7B,confidence,4711,0.8132075471698114,0.8180531975099038,0.8285229202037352
CADEC,BioMistral-7B,margin,4711,0.8174528301886792,0.8166383701188455,0.8221561969439728
CADEC,BioMistral-7B,combined,4711,0.8120283018867924,0.7917374080362196,0.7563667232597623
CADEC,BioMistral-7B,combined_3,4711,0.8139150943396226,0.7985285795132994,0.7873514431239389
CADEC,Mistral-7B-Instruct-v0.1,entropy,4712,0.8613534543739684,0.8471986417657046,0.8179117147707979
CADEC,Mistral-7B-Instruct-v0.1,confidence,4712,0.8696062249469465,0.8706847764572723,0.8705432937181664
CADEC,Mistral-7B-Instruct-v0.1,margin,4712,0.8688988446121197,0.8706847764572723,0.883276740237691
CADEC,Mistral-7B-Instruct-v0.1,combined,4712,0.8613534543739684,0.846915676287493,0.815365025466893
CADEC,Mistral-7B-Instruct-v0.1,combined_3,4712,0.8637113888233907,0.8582342954159592,0.8455008488964346
CADEC,Llama3-OpenBioLLM-8B,entropy,4712,0.9167649139353926,0.9069043576683644,0.8820033955857385
CADEC,Llama3-OpenBioLLM-8B,confidence,4712,0.9170007073803348,0.9142614601018676,0.9185059422750425
CADEC,Llama3-OpenBioLLM-8B,margin,4712,0.9261966517330819,0.9301075268817205,0.9393039049235993
CADEC,Llama3-OpenBioLLM-8B,combined,4712,0.9167649139353926,0.9057724957555178,0.8820033955857385
CADEC,Llama3-OpenBioLLM-8B,combined_3,4712,0.9177080877151615,0.911431805319751,0.9049235993208828
CADEC,Meta-Llama-3-8B-Instruct,entropy,4712,0.8931855694411696,0.8803056027164686,0.8484719864176571
CADEC,Meta-Llama-3-8B-Instruct,confidence,4712,0.8957792973355341,0.8913412563667232,0.8883701188455009
CADEC,Meta-Llama-3-8B-Instruct,margin,4712,0.8983730252298986,0.8958687040181098,0.8964346349745331
CADEC,Meta-Llama-3-8B-Instruct,combined,4712,0.8922423956614006,0.8805885681946802,0.8480475382003396
CADEC,Meta-Llama-3-8B-Instruct,combined_3,4712,0.8931855694411696,0.8834182229767968,0.868421052631579
