scope,pair,rho,ci_low,ci_high,n,p
ALL MODELS,entropy_vs_confidence,-0.21320093588504266,-0.22281642987061193,-0.20354396224043714,37695,0.0
ALL MODELS,entropy_vs_margin,0.0807049686423942,0.07066748662362023,0.09072610847662892,37695,1.6593939525818652e-55
ALL MODELS,confidence_vs_margin,-0.1636518438616185,-0.173460330776965,-0.15381089461226477,37695,1.5935204742056032e-224
BERT-base,entropy_vs_confidence,-0.4963457534898324,-0.517564427942255,-0.47451698419823035,4712,1.2349046913751872e-291
BERT-base,entropy_vs_margin,0.3125244644195367,0.28652746165153425,0.33806158710200895,4712,2.840782055912998e-107
BERT-base,confidence_vs_margin,-0.19261737243391605,-0.21996150424538677,-0.16497079279711693,4712,1.289743560371477e-40
BioBERT,entropy_vs_confidence,-0.5251022875400879,-0.5454774633925615,-0.5041068114484663,4712,0.0
BioBERT,entropy_vs_margin,0.3487534326458648,0.32342022481560073,0.37358706522685337,4712,7.654890541637833e-135
BioBERT,confidence_vs_margin,-0.3025074137112273,-0.32822618674255877,-0.2763404636754902,4712,2.67232138615736e-100
BioMistral-7B,entropy_vs_confidence,-0.05765802279785551,-0.08607324642057583,-0.029149071410953825,4711,7.504338670644624e-05
BioMistral-7B,entropy_vs_margin,-0.0863893993029395,-0.11466346893804188,-0.057975479408656314,4711,2.8673568744405407e-09
BioMistral-7B,confidence_vs_margin,0.0565164504025216,0.02800470182038363,0.0849363149338024,4711,0.0001039522178018378
FLAN-T5-base,entropy_vs_confidence,-0.18345558566152234,-0.2109047033997145,-0.1557173759886727,4712,6.0897726639864224e-37
FLAN-T5-base,entropy_vs_margin,0.004502930289016406,-0.024054078229469096,0.03305259624304807,4712,0.75730726638171
FLAN-T5-base,confidence_vs_margin,0.10228731787402037,0.07394938636800137,0.13046019805707945,4712,1.949981294697443e-12
Llama3-OpenBioLLM-8B,entropy_vs_confidence,-0.09964168534242653,-0.12783189883476254,-0.07129060280004318,4712,7.128510664597754e-12
Llama3-OpenBioLLM-8B,entropy_vs_margin,0.030594394225763957,0.002042262591141354,0.05909668370264524,4712,0.03572389279811485
