instance_id,model_name,domain,pair,normalised_entropy,m_accepted,accuracy,mapping_confidence,dominant_cui,n_unassigned,m_distinct,normalised_entropy_dedup,semantic_entropy_dedup,dominant_cui_dedup,n_unassigned_dedup,n_duplicate_variants,retained_m_accepted,retained_m_distinct,n_retrieval_rows,margin_mean,margin_min,s1_mean,s2_mean,margin_original
cadec_ARTHROTEC.1_TT5,BERT-base,general,pair1_biobert_vs_bertbase,-0.0,4,1,0.9999996423721312,C0003864,0,3,-0.0,-0.0,C0003864,0,1,True,True,5.0,0.05723750591278065,0.05723750591278065,0.9999996423721311,0.9427622,0.05723750591278065
cadec_ARTHROTEC.1_TT6,BERT-base,general,pair1_biobert_vs_bertbase,-0.0,4,1,0.9999995231628418,C0521992,0,3,-0.0,-0.0,C0521992,0,1,True,True,5.0,0.11783909797668457,0.11783909797668457,0.9999995231628418,0.88216037,0.11783909797668457
cadec_ARTHROTEC.10_TT1,BERT-base,general,pair1_biobert_vs_bertbase,-0.0,4,1,0.9999995827674866,C0019559,0,3,-0.0,-0.0,C0019559,0,1,True,True,5.0,-1.1920928955078125e-07,-1.1920928955078125e-07,0.9999995827674866,0.9999997,-1.1920928955078125e-07
cadec_ARTHROTEC.100_TT3,BERT-base,general,pair1_biobert_vs_bertbase,-0.0,6,1,0.9999994039535522,C0038363,0,5,-0.0,-0.0,C0038363,0,1,True,True,7.0,0.13886113677706036,0.12986254692077637,0.9999994805880955,0.86113834,0.12986254692077637
cadec_ARTHROTEC.101_TT1,BERT-base,general,pair1_biobert_vs_bertbase,-0.0,5,1,0.9999995827674866,C0013404,0,3,-0.0,-0.0,C0013404,0,2,True,True,6.0,0.04369223117828369,0.04369223117828369,0.9999995827674866,0.95630735,0.04369223117828369
cadec_ARTHROTEC.101_TT2,BERT-base,general,pair1_biobert_vs_bertbase,-0.0,5,1,0.9999995827674866,C0011581,0,4,-0.0,-0.0,C0011581,0,1,True,True,6.0,5.960464477539063e-08,5.960464477539063e-08,0.9999995827674866,0.9999995,5.960464477539063e-08
cadec_ARTHROTEC.101_TT3,BERT-base,general,pair1_biobert_vs_bertbase,-0.0,5,1,0.9999994039535522,C0026821,0,4,-0.0,-0.0,C0026821,0,1,True,True,6.0,0.02459508180618286,0.02459508180618286,0.9999994039535522,0.9754043,0.02459508180618286
cadec_ARTHROTEC.101_TT4,BERT-base,general,pair1_biobert_vs_bertbase,0.8277293767706428,4,0,0.9999984502792358,C3260385,0,3,1.0,2.0,C5552259,0,1,True,True,5.0,0.05854375362396245,0.02462059259414684,0.9999988198280334,0.94145507,0.026532411575317383
cadec_ARTHROTEC.103_TT2,BERT-base,general,pair1_biobert_vs_bertbase,-0.0,4,0,0.9999995231628418,C1704754,0,3,-0.0,-0.0,C1704754,0,1,True,True,5.0,0.12424975633621216,0.12424975633621216,0.9999995231628418,0.87574977,0.12424975633621216
cadec_ARTHROTEC.103_TT3,BERT-base,general,pair1_biobert_vs_bertbase,0.7964530359382728,6,0,0.9999986886978148,C4264362,0,5,0.8710490642551529,2.251629167387823,C4264362,0,1,True,True,7.0,0.04947718552180697,0.025517642498016357,0.9999987738473075,0.9505216,0.02556312084197987
