dataset,model,n,signal,aurc_point,ci_low,ci_high
MedMentions,BERT-base,491,entropy,0.8640375752204752,0.8366630710674996,0.8806267208226767
MedMentions,BERT-base,491,confidence,0.8660598061413696,0.8441536448648532,0.8841763076533162
MedMentions,BERT-base,491,margin,0.8105458807071156,0.7686728768315388,0.8482107730409617
MedMentions,BERT-base,491,combined,0.8640375752204752,0.8366630710674996,0.8806267208226767
MedMentions,BERT-base,491,combined_3,0.822692577842119,0.7865489151403796,0.8561842541651351
MedMentions,BioBERT,491,entropy,0.8182369795457947,0.786334727114584,0.8458745250612186
MedMentions,BioBERT,491,confidence,0.841162463926491,0.8082183698929053,0.8602852093608141
MedMentions,BioBERT,491,margin,0.7447983022351305,0.6940087502604297,0.7913974687839901
MedMentions,BioBERT,491,combined,0.8182369795457947,0.786334727114584,0.8458745250612186
MedMentions,BioBERT,491,combined_3,0.7555914684889868,0.7085891412069925,0.8005034885899616
MedMentions,PubMedBERT,491,entropy,0.8736802160649844,0.8471795888451273,0.8851026336289834
MedMentions,PubMedBERT,491,confidence,0.8761174888478026,0.8503697791008119,0.88780921677245
MedMentions,PubMedBERT,491,margin,0.8298274103770937,0.7927096158029219,0.862335107666154
MedMentions,PubMedBERT,491,combined,0.8736802160649844,0.8471795888451273,0.8851026336289834
MedMentions,PubMedBERT,491,combined_3,0.8405584815476009,0.8084080224225791,0.8692542617095311
MedMentions,FLAN-T5-base,491,entropy,0.6732448031631045,0.6269952604567725,0.7169851139568056
MedMentions,FLAN-T5-base,491,confidence,0.6676121523477396,0.6258485716029014,0.7155026620043042
MedMentions,FLAN-T5-base,491,margin,0.6287291227981204,0.5766508614000664,0.676336220518169
MedMentions,FLAN-T5-base,491,combined,0.6442192161847068,0.5936252162047957,0.6925341850110243
MedMentions,FLAN-T5-base,491,combined_3,0.6115678109235365,0.5586420478557961,0.661258748577794
MedMentions,BioMistral-7B,491,entropy,0.7037034886312366,0.6474835201114925,0.7361453422201883
MedMentions,BioMistral-7B,491,confidence,0.6497147519282236,0.5898174715992959,0.6903340007319246
MedMentions,BioMistral-7B,491,margin,0.6310268131343382,0.581884927343535,0.679739650522909
MedMentions,BioMistral-7B,491,combined,0.6656266286082033,0.6116272146009814,0.7092564148749078
MedMentions,BioMistral-7B,491,combined_3,0.6101747487539987,0.5574824618242044,0.6606301124779278
MedMentions,Mistral-7B-Instruct-v0.1,491,entropy,0.6772111292718364,0.6240983887546427,0.7161724454548785
MedMentions,Mistral-7B-Instruct-v0.1,491,confidence,0.6371761995008902,0.5850635210031733,0.6841180142547671
MedMentions,Mistral-7B-Instruct-v0.1,491,margin,0.6345688944101627,0.5843487644161088,0.6811662404251425
MedMentions,Mistral-7B-Instruct-v0.1,491,combined,0.6429079179237651,0.5978235079558325,0.6959236412550092
MedMentions,Mistral-7B-Instruct-v0.1,491,combined_3,0.6059526577240452,0.5560812979054759,0.6588750193470049
MedMentions,Llama3-OpenBioLLM-8B,491,entropy,0.6271935367269723,0.581223974665585,0.6764817357562761
MedMentions,Llama3-OpenBioLLM-8B,491,confidence,0.5848422655226488,0.5300432799114947,0.6336386776754573
MedMentions,Llama3-OpenBioLLM-8B,491,margin,0.6053157237066675,0.5567241802913866,0.6540295838125204
MedMentions,Llama3-OpenBioLLM-8B,491,combined,0.6074900518429189,0.5589016869607182,0.6593286368414102
MedMentions,Llama3-OpenBioLLM-8B,491,combined_3,0.5548099699192897,0.49983847632118905,0.6059836910771425
MedMentions,Meta-Llama-3-8B-Instruct,490,entropy,0.6819615281930206,0.6321466783227154,0.7217847779103433
MedMentions,Meta-Llama-3-8B-Instruct,490,confidence,0.6716064105381621,0.6236787641775813,0.7135328251701739
MedMentions,Meta-Llama-3-8B-Instruct,490,margin,0.6381530955905079,0.5898847864630319,0.6867329424727094
MedMentions,Meta-Llama-3-8B-Instruct,490,combined,0.6589652292587078,0.6093844386666033,0.7046504037707987
MedMentions,Meta-Llama-3-8B-Instruct,490,combined_3,0.6247376998344557,0.5743661392355671,0.6753802426423411
CADEC,BERT-base,5669,entropy,0.491592245200544,0.4789248945048614,0.5085036109954693
CADEC,BERT-base,5669,confidence,0.4527868662210048,0.438243332352389,0.4687395405678735
