dataset,model,n,signal,AURC
SQuAD2,BioMistral-7B,139,entropy,0.753462108016821
SQuAD2,BioMistral-7B,139,confidence,0.8544551202996385
SQuAD2,BioMistral-7B,139,margin,0.7865228207695948
SQuAD2,BioMistral-7B,139,random,0.7922248099169896
SQuAD2,BioMistral-7B,139,combined,0.7700146094001494
SQuAD2,BioMistral-7B,139,combined_3,0.7928222499388824
SQuAD2,Mistral-7B-Instruct-v0.1,139,entropy,0.7356311284488517
SQuAD2,Mistral-7B-Instruct-v0.1,139,confidence,0.842143555956967
SQuAD2,Mistral-7B-Instruct-v0.1,139,margin,0.748154655035293
SQuAD2,Mistral-7B-Instruct-v0.1,139,random,0.7910781324406092
SQuAD2,Mistral-7B-Instruct-v0.1,139,combined,0.7612162675161336
SQuAD2,Mistral-7B-Instruct-v0.1,139,combined_3,0.7731408034941858
SQuAD2,OpenBioLLM-8B,139,entropy,0.8568781551647074
SQuAD2,OpenBioLLM-8B,139,confidence,0.8887815365638871
SQuAD2,OpenBioLLM-8B,139,margin,0.8413569380899744
SQuAD2,OpenBioLLM-8B,139,random,0.8611204472140261
SQuAD2,OpenBioLLM-8B,139,combined,0.8633644602130425
SQuAD2,OpenBioLLM-8B,139,combined_3,0.8714122626673577
SQuAD2,Meta-Llama-3-8B-Instruct,139,entropy,0.2953346996775089
SQuAD2,Meta-Llama-3-8B-Instruct,139,confidence,0.2956746242622367
SQuAD2,Meta-Llama-3-8B-Instruct,139,margin,0.38710133609529523
SQuAD2,Meta-Llama-3-8B-Instruct,139,random,0.3543552339877243
SQuAD2,Meta-Llama-3-8B-Instruct,139,combined,0.28412044913248663
SQuAD2,Meta-Llama-3-8B-Instruct,139,combined_3,0.3100020796033475
SQuAD2,FLAN-T5-base,139,entropy,0.23587171794473466
SQuAD2,FLAN-T5-base,139,confidence,0.19274436867353315
SQuAD2,FLAN-T5-base,139,margin,0.3518696966663423
SQuAD2,FLAN-T5-base,139,random,0.33783475036816907
SQuAD2,FLAN-T5-base,139,combined,0.19996434827990148
SQuAD2,FLAN-T5-base,139,combined_3,0.2330898143907723
BioASQ,BioMistral-7B,392,entropy,0.5929134129719568
BioASQ,BioMistral-7B,392,confidence,0.610423107901168
BioASQ,BioMistral-7B,392,margin,0.6913371881795956
BioASQ,BioMistral-7B,392,random,0.6964850171363423
BioASQ,BioMistral-7B,392,combined,0.5805880219173861
BioASQ,BioMistral-7B,392,combined_3,0.5989328356163988
BioASQ,Mistral-7B-Instruct-v0.1,392,entropy,0.6729387354274466
BioASQ,Mistral-7B-Instruct-v0.1,392,confidence,0.6900036938667777
BioASQ,Mistral-7B-Instruct-v0.1,392,margin,0.7219801573047723
BioASQ,Mistral-7B-Instruct-v0.1,392,random,0.7406213429547778
BioASQ,Mistral-7B-Instruct-v0.1,392,combined,0.6721257276848203
BioASQ,Mistral-7B-Instruct-v0.1,392,combined_3,0.670909528308647
BioASQ,OpenBioLLM-8B,392,entropy,0.7067045001338205
BioASQ,OpenBioLLM-8B,392,confidence,0.6744071134301035
BioASQ,OpenBioLLM-8B,392,margin,0.7334260729672708
BioASQ,OpenBioLLM-8B,392,random,0.7347240491680727
BioASQ,OpenBioLLM-8B,392,combined,0.690671459495627
BioASQ,OpenBioLLM-8B,392,combined_3,0.6789219469804781
BioASQ,Meta-Llama-3-8B-Instruct,392,entropy,0.6075304592814387
BioASQ,Meta-Llama-3-8B-Instruct,392,confidence,0.5598998350722939
BioASQ,Meta-Llama-3-8B-Instruct,392,margin,0.6784034282545962
BioASQ,Meta-Llama-3-8B-Instruct,392,random,0.6822694806441695
BioASQ,Meta-Llama-3-8B-Instruct,392,combined,0.588401929902739
BioASQ,Meta-Llama-3-8B-Instruct,392,combined_3,0.5965831327170461
BioASQ,FLAN-T5-base,392,entropy,0.8947288371321634
BioASQ,FLAN-T5-base,392,confidence,0.892944668418344
BioASQ,FLAN-T5-base,392,margin,0.8961335831129681
BioASQ,FLAN-T5-base,392,random,0.8939640268000136
BioASQ,FLAN-T5-base,392,combined,0.8948880728009533
BioASQ,FLAN-T5-base,392,combined_3,0.8943319588321271
