dataset,model,n,best_single,delta_point,delta_ci_low,delta_ci_high,p_value,significant,holm_significant,delta_vs_confidence,delta_vs_confidence_ci_low,delta_vs_confidence_ci_high,p_vs_confidence,significant_vs_confidence,delta_vs_combined2,delta_vs_combined2_ci_low,delta_vs_combined2_ci_high,p_vs_combined2,significant_vs_combined2
MedMentions,FLAN-T5-base,491,margin,-0.017161311874583918,-0.035315174511654175,0.0030383474301451554,0.101,False,False,-0.056044341424203115,-0.08894887961541104,-0.03373129475823181,0.0,True,-0.032651405261170274,-0.05312959316887137,-0.012679688378496902,0.001,True
MedMentions,BioMistral-7B,491,margin,-0.020852064380339486,-0.0432277184562265,0.0005686064421557138,0.061,False,False,-0.0395400031742249,-0.05553854002430063,-0.004134493700595323,0.024,True,-0.05545187985420463,-0.07258682256600804,-0.02869705140593524,0.0,True
MedMentions,Mistral-7B-Instruct-v0.1,491,margin,-0.02861623668611757,-0.04527920902573847,-0.006489413108071307,0.01,True,True,-0.031223541776845054,-0.05012716226922989,-0.004480850388892117,0.018,True,-0.03695526019971995,-0.06022744690295902,-0.016571853209373898,0.001,True
MedMentions,Llama3-OpenBioLLM-8B,491,confidence,-0.030032295603359183,-0.05060640376052399,-0.004802647484697497,0.015,True,False,-0.030032295603359183,-0.05060640376052399,-0.004802647484697497,0.015,True,-0.052680081923629274,-0.08108627944975128,-0.03061324695057369,0.0,True
MedMentions,Meta-Llama-3-8B-Instruct,490,margin,-0.013415395756052217,-0.034087905746124,0.004796643822755289,0.15,False,False,-0.04686871070370635,-0.07449892684258107,-0.016894112302356868,0.001,True,-0.03422752942425211,-0.05426971585630638,-0.011992205476046642,0.002,True
CADEC,BERT-base,5669,confidence,0.10283017579556669,0.09504164809603996,0.11072810341128153,0.0,False,False,0.10283017579556669,0.09504164809603996,0.11072810341128153,0.0,False,0.11287199119909885,0.10637414544030807,0.12080887903063323,0.0,False
CADEC,BioBERT,5669,confidence,0.01363729304392608,0.005285466887017346,0.020850058581226377,0.001,False,False,0.01363729304392608,0.005285466887017346,0.020850058581226377,0.001,False,0.04627588834109936,0.03866628343614349,0.05311395790331457,0.0,False
CADEC,PubMedBERT,5669,confidence,0.020819005987137262,0.012674185143787872,0.028117196898950543,0.0,False,False,0.020819005987137262,0.012674185143787872,0.028117196898950543,0.0,False,0.05103749615814229,0.04314279652806769,0.05784202266092431,0.0,False
CADEC,FLAN-T5-base,5668,entropy,-0.02018738767573247,-0.03738848870079221,-0.019788480060170414,0.0,True,True,-0.03844726756335759,-0.04878433611529567,-0.033389530128361516,0.0,True,-0.026177221810655293,-0.03322338358634738,-0.01849095243655245,0.0,True
CADEC,BioMistral-7B,5658,entropy,0.007090768324345076,-0.008064731157326732,0.012773196274809849,0.655,False,False,0.002002391201653686,-0.0052463326129536135,0.01020497756382238,0.542,False,0.005819156674703008,-0.0015266868592022059,0.013961083114159618,0.126,False
CADEC,Mistral-7B-Instruct-v0.1,5633,confidence,0.01589251644329942,0.008823644764638967,0.021245084403535112,0.0,False,False,0.01589251644329942,0.008823644764638967,0.021245084403535112,0.0,False,0.010486586626735406,0.0038395513371991667,0.01673251447698858,0.002,False
CADEC,Llama3-OpenBioLLM-8B,233,confidence,-0.005697312912514074,-0.04708494396589558,0.015955435830857616,0.319,False,False,-0.005697312912514074,-0.04708494396589558,0.015955435830857616,0.319,False,-0.0016087615600192118,-0.039266451836543356,0.01799012912376234,0.495,False
CADEC,Meta-Llama-3-8B-Instruct,5193,confidence,-3.239162770130033e-05,-0.008775542246735858,0.004786467869771033,0.513,False,False,-3.239162770130033e-05,-0.008775542246735858,0.004786467869771033,0.513,False,-0.0013242179441690927,-0.009831512542200835,0.003986451838570857,0.336,False
