dataset,model,signal,coverage,selective_accuracy,risk,n,small_n
CADEC,BERT-base,combined,1.0,0.3155759393191039,0.6844240606808961,5669,False
CADEC,BERT-base,combined,0.95,0.3321574452283699,0.6678425547716301,5669,False
CADEC,BERT-base,combined,0.9,0.35057809131883205,0.6494219086811679,5669,False
CADEC,BERT-base,combined,0.85,0.37061631043785015,0.6293836895621499,5669,False
CADEC,BERT-base,combined,0.8,0.39307760141093473,0.6069223985890653,5669,False
CADEC,BERT-base,combined,0.75,0.4172154280338664,0.5827845719661335,5669,False
CADEC,BERT-base,combined,0.7,0.4351221970269589,0.564877802973041,5669,False
CADEC,BERT-base,combined,0.65,0.45210312075983716,0.5478968792401628,5669,False
CADEC,BERT-base,combined,0.6,0.4729570840681952,0.5270429159318049,5669,False
CADEC,BERT-base,combined,0.55,0.4923027581783194,0.5076972418216805,5669,False
CADEC,BERT-base,combined,0.5,0.5259259259259259,0.4740740740740741,5669,False
CADEC,BERT-base,combined,0.45,0.5505485893416928,0.4494514106583072,5669,False
CADEC,BERT-base,combined,0.4,0.550705467372134,0.449294532627866,5669,False
CADEC,BERT-base,combined,0.35,0.5380352644836272,0.46196473551637285,5669,False
CADEC,BERT-base,combined,0.3,0.5902410346854792,0.40975896531452083,5669,False
CADEC,BERT-base,combined,0.25,0.6748942172073342,0.3251057827926658,5669,False
CADEC,BERT-base,combined,0.2,0.7107583774250441,0.2892416225749559,5669,False
CADEC,BERT-base,combined,0.15,0.7473560517038778,0.25264394829612224,5669,False
CADEC,BERT-base,combined,0.1,0.7654320987654321,0.23456790123456794,5669,False
CADEC,BERT-base,combined_3,1.0,0.3155759393191039,0.6844240606808961,5669,False
CADEC,BERT-base,combined_3,0.95,0.3321574452283699,0.6678425547716301,5669,False
CADEC,BERT-base,combined_3,0.9,0.34901038604742307,0.6509896139525769,5669,False
CADEC,BERT-base,combined_3,0.85,0.36812616725461716,0.6318738327453828,5669,False
CADEC,BERT-base,combined_3,0.8,0.3838183421516755,0.6161816578483246,5669,False
CADEC,BERT-base,combined_3,0.75,0.3972248353715898,0.6027751646284102,5669,False
CADEC,BERT-base,combined_3,0.7,0.4126984126984127,0.5873015873015873,5669,False
CADEC,BERT-base,combined_3,0.65,0.4276797829036635,0.5723202170963365,5669,False
CADEC,BERT-base,combined_3,0.6,0.43768371546149326,0.5623162845385068,5669,False
CADEC,BERT-base,combined_3,0.55,0.4342527261064785,0.5657472738935214,5669,False
CADEC,BERT-base,combined_3,0.5,0.43703703703703706,0.5629629629629629,5669,False
CADEC,BERT-base,combined_3,0.45,0.43808777429467083,0.5619122257053292,5669,False
CADEC,BERT-base,combined_3,0.4,0.4444444444444444,0.5555555555555556,5669,False
CADEC,BERT-base,combined_3,0.35,0.4443324937027708,0.5556675062972292,5669,False
CADEC,BERT-base,combined_3,0.3,0.4132863021751911,0.5867136978248089,5669,False
CADEC,BERT-base,combined_3,0.25,0.37729196050775743,0.6227080394922426,5669,False
CADEC,BERT-base,combined_3,0.2,0.3262786596119929,0.6737213403880071,5669,False
CADEC,BERT-base,combined_3,0.15,0.21034077555816685,0.7896592244418331,5669,False
CADEC,BERT-base,combined_3,0.1,0.19223985890652556,0.8077601410934745,5669,False
CADEC,BERT-base,confidence,1.0,0.3155759393191039,0.6844240606808961,5669,False
CADEC,BERT-base,confidence,0.95,0.3321574452283699,0.6678425547716301,5669,False
CADEC,BERT-base,confidence,0.9,0.34901038604742307,0.6509896139525769,5669,False
