dataset,model,signal,coverage,selective_accuracy,risk,n,small_n,n_keep,n_total
MedMentions,BioMistral-7B,combined,1.0,0.2179226069246435,0.7820773930753564,491,False,,
MedMentions,BioMistral-7B,combined,0.95,0.2226980728051391,0.7773019271948608,491,False,,
MedMentions,BioMistral-7B,combined,0.9,0.2262443438914027,0.7737556561085973,491,False,,
MedMentions,BioMistral-7B,combined,0.85,0.2224880382775119,0.777511961722488,491,False,,
MedMentions,BioMistral-7B,combined,0.8,0.2213740458015267,0.7786259541984732,491,False,,
MedMentions,BioMistral-7B,combined,0.75,0.2249322493224932,0.7750677506775068,491,False,,
MedMentions,BioMistral-7B,combined,0.7,0.2238372093023256,0.7761627906976745,491,False,,
MedMentions,BioMistral-7B,combined,0.65,0.221875,0.778125,491,False,,
MedMentions,BioMistral-7B,combined,0.6,0.2406779661016949,0.7593220338983051,491,False,,
MedMentions,BioMistral-7B,combined,0.55,0.2324723247232472,0.7675276752767528,491,False,,
MedMentions,BioMistral-7B,combined,0.5,0.2357723577235772,0.7642276422764227,491,False,,
MedMentions,BioMistral-7B,combined,0.45,0.253393665158371,0.746606334841629,491,False,,
MedMentions,BioMistral-7B,combined,0.4,0.2690355329949238,0.7309644670050761,491,False,,
MedMentions,BioMistral-7B,combined,0.35,0.2965116279069767,0.7034883720930232,491,False,,
MedMentions,BioMistral-7B,combined,0.3,0.3175675675675675,0.6824324324324325,491,False,,
MedMentions,BioMistral-7B,combined,0.25,0.3414634146341463,0.6585365853658536,491,False,,
MedMentions,BioMistral-7B,combined,0.2,0.3838383838383838,0.6161616161616161,491,False,,
MedMentions,BioMistral-7B,combined,0.15,0.3243243243243243,0.6756756756756757,491,False,,
MedMentions,BioMistral-7B,combined,0.1,0.24,0.76,491,False,,
MedMentions,BioMistral-7B,combined_3,1.0,0.2179226069246435,0.7820773930753564,491,False,,
MedMentions,BioMistral-7B,combined_3,0.95,0.2226980728051391,0.7773019271948608,491,False,,
MedMentions,BioMistral-7B,combined_3,0.9,0.2307692307692307,0.7692307692307692,491,False,,
MedMentions,BioMistral-7B,combined_3,0.85,0.2368421052631578,0.7631578947368421,491,False,,
MedMentions,BioMistral-7B,combined_3,0.8,0.2493638676844783,0.7506361323155216,491,False,,
MedMentions,BioMistral-7B,combined_3,0.75,0.2628726287262872,0.7371273712737128,491,False,,
MedMentions,BioMistral-7B,combined_3,0.7,0.2790697674418604,0.7209302325581395,491,False,,
MedMentions,BioMistral-7B,combined_3,0.65,0.28125,0.71875,491,False,,
MedMentions,BioMistral-7B,combined_3,0.6,0.288135593220339,0.711864406779661,491,False,,
MedMentions,BioMistral-7B,combined_3,0.55,0.3099630996309963,0.6900369003690037,491,False,,
MedMentions,BioMistral-7B,combined_3,0.5,0.3170731707317073,0.6829268292682926,491,False,,
MedMentions,BioMistral-7B,combined_3,0.45,0.334841628959276,0.6651583710407241,491,False,,
MedMentions,BioMistral-7B,combined_3,0.4,0.350253807106599,0.649746192893401,491,False,,
MedMentions,BioMistral-7B,combined_3,0.35,0.3662790697674418,0.6337209302325582,491,False,,
MedMentions,BioMistral-7B,combined_3,0.3,0.4054054054054054,0.5945945945945945,491,False,,
MedMentions,BioMistral-7B,combined_3,0.25,0.4390243902439024,0.5609756097560976,491,False,,
MedMentions,BioMistral-7B,combined_3,0.2,0.4242424242424242,0.5757575757575757,491,False,,
MedMentions,BioMistral-7B,combined_3,0.15,0.4594594594594595,0.5405405405405406,491,False,,
MedMentions,BioMistral-7B,combined_3,0.1,0.46,0.54,491,False,,
MedMentions,BioMistral-7B,confidence,1.0,0.2179226069246435,0.7820773930753564,491,False,,
MedMentions,BioMistral-7B,confidence,0.95,0.2269807280513918,0.7730192719486082,491,False,,
MedMentions,BioMistral-7B,confidence,0.9,0.2330316742081448,0.7669683257918551,491,False,,
MedMentions,BioMistral-7B,confidence,0.85,0.2368421052631578,0.7631578947368421,491,False,,
MedMentions,BioMistral-7B,confidence,0.8,0.2417302798982188,0.7582697201017812,491,False,,
MedMentions,BioMistral-7B,confidence,0.75,0.2547425474254742,0.7452574525745257,491,False,,
MedMentions,BioMistral-7B,confidence,0.7,0.2645348837209302,0.7354651162790697,491,False,,
MedMentions,BioMistral-7B,confidence,0.65,0.275,0.725,491,False,,
MedMentions,BioMistral-7B,confidence,0.6,0.288135593220339,0.711864406779661,491,False,,
MedMentions,BioMistral-7B,confidence,0.55,0.3025830258302583,0.6974169741697417,491,False,,
MedMentions,BioMistral-7B,confidence,0.5,0.3130081300813008,0.6869918699186992,491,False,,
MedMentions,BioMistral-7B,confidence,0.45,0.334841628959276,0.6651583710407241,491,False,,
MedMentions,BioMistral-7B,confidence,0.4,0.3553299492385787,0.6446700507614214,491,False,,
MedMentions,BioMistral-7B,confidence,0.35,0.3197674418604651,0.6802325581395349,491,False,,
MedMentions,BioMistral-7B,confidence,0.3,0.3243243243243243,0.6756756756756757,491,False,,
MedMentions,BioMistral-7B,confidence,0.25,0.3333333333333333,0.6666666666666667,491,False,,
MedMentions,BioMistral-7B,confidence,0.2,0.2828282828282828,0.7171717171717171,491,False,,
MedMentions,BioMistral-7B,confidence,0.15,0.2297297297297297,0.7702702702702703,491,False,,
MedMentions,BioMistral-7B,confidence,0.1,0.16,0.84,491,False,,
MedMentions,BioMistral-7B,entropy,1.0,0.2179226069246435,0.7820773930753564,491,False,,
MedMentions,BioMistral-7B,entropy,0.95,0.2226980728051391,0.7773019271948608,491,False,,
MedMentions,BioMistral-7B,entropy,0.9,0.2262443438914027,0.7737556561085973,491,False,,
MedMentions,BioMistral-7B,entropy,0.85,0.2224880382775119,0.777511961722488,491,False,,
MedMentions,BioMistral-7B,entropy,0.8,0.2239185750636132,0.7760814249363868,491,False,,
MedMentions,BioMistral-7B,entropy,0.75,0.2249322493224932,0.7750677506775068,491,False,,
MedMentions,BioMistral-7B,entropy,0.7,0.2267441860465116,0.7732558139534884,491,False,,
MedMentions,BioMistral-7B,entropy,0.65,0.225,0.775,491,False,,
MedMentions,BioMistral-7B,entropy,0.6,0.2305084745762712,0.7694915254237288,491,False,,
MedMentions,BioMistral-7B,entropy,0.55,0.2324723247232472,0.7675276752767528,491,False,,
MedMentions,BioMistral-7B,entropy,0.5,0.2357723577235772,0.7642276422764227,491,False,,
MedMentions,BioMistral-7B,entropy,0.45,0.2398190045248869,0.7601809954751131,491,False,,
MedMentions,BioMistral-7B,entropy,0.4,0.2284263959390862,0.7715736040609137,491,False,,
MedMentions,BioMistral-7B,entropy,0.35,0.2325581395348837,0.7674418604651163,491,False,,
MedMentions,BioMistral-7B,entropy,0.3,0.2229729729729729,0.777027027027027,491,False,,
MedMentions,BioMistral-7B,entropy,0.25,0.1951219512195122,0.8048780487804879,491,False,,
MedMentions,BioMistral-7B,entropy,0.2,0.1616161616161616,0.8383838383838383,491,False,,
MedMentions,BioMistral-7B,entropy,0.15,0.1756756756756756,0.8243243243243243,491,False,,
MedMentions,BioMistral-7B,entropy,0.1,0.18,0.8200000000000001,491,False,,
MedMentions,BioMistral-7B,margin,1.0,0.2179226069246435,0.7820773930753564,491,False,,
MedMentions,BioMistral-7B,margin,0.95,0.2226980728051391,0.7773019271948608,491,False,,
MedMentions,BioMistral-7B,margin,0.9,0.2262443438914027,0.7737556561085973,491,False,,
MedMentions,BioMistral-7B,margin,0.85,0.2368421052631578,0.7631578947368421,491,False,,
MedMentions,BioMistral-7B,margin,0.8,0.2519083969465648,0.7480916030534351,491,False,,
MedMentions,BioMistral-7B,margin,0.75,0.2655826558265582,0.7344173441734417,491,False,,
MedMentions,BioMistral-7B,margin,0.7,0.2761627906976744,0.7238372093023255,491,False,,
MedMentions,BioMistral-7B,margin,0.65,0.2875,0.7125,491,False,,
MedMentions,BioMistral-7B,margin,0.6,0.2949152542372881,0.7050847457627119,491,False,,
MedMentions,BioMistral-7B,margin,0.55,0.2988929889298893,0.7011070110701108,491,False,,
MedMentions,BioMistral-7B,margin,0.5,0.3048780487804878,0.6951219512195121,491,False,,
MedMentions,BioMistral-7B,margin,0.45,0.3122171945701357,0.6877828054298643,491,False,,
MedMentions,BioMistral-7B,margin,0.4,0.3299492385786802,0.6700507614213198,491,False,,
MedMentions,BioMistral-7B,margin,0.35,0.3313953488372093,0.6686046511627908,491,False,,
MedMentions,BioMistral-7B,margin,0.3,0.3378378378378378,0.6621621621621622,491,False,,
MedMentions,BioMistral-7B,margin,0.25,0.3414634146341463,0.6585365853658536,491,False,,
MedMentions,BioMistral-7B,margin,0.2,0.3636363636363636,0.6363636363636364,491,False,,
MedMentions,BioMistral-7B,margin,0.15,0.3783783783783784,0.6216216216216216,491,False,,
MedMentions,BioMistral-7B,margin,0.1,0.42,0.5800000000000001,491,False,,
MedMentions,BioMistral-7B,random,1.0,0.2179226069246435,0.7820773930753564,491,False,,
MedMentions,BioMistral-7B,random,0.95,0.2173447537473233,0.7826552462526766,491,False,,
MedMentions,BioMistral-7B,random,0.9,0.2157239819004525,0.7842760180995475,491,False,,
MedMentions,BioMistral-7B,random,0.85,0.2147129186602871,0.7852870813397129,491,False,,
MedMentions,BioMistral-7B,random,0.8,0.2153944020356234,0.7846055979643766,491,False,,
MedMentions,BioMistral-7B,random,0.75,0.2157181571815718,0.7842818428184282,491,False,,
MedMentions,BioMistral-7B,random,0.7,0.2170058139534883,0.7829941860465116,491,False,,
MedMentions,BioMistral-7B,random,0.65,0.2190625,0.7809375,491,False,,
MedMentions,BioMistral-7B,random,0.6,0.2166101694915254,0.7833898305084745,491,False,,
MedMentions,BioMistral-7B,random,0.55,0.2178966789667897,0.7821033210332103,491,False,,
MedMentions,BioMistral-7B,random,0.5,0.2172764227642276,0.7827235772357723,491,False,,
MedMentions,BioMistral-7B,random,0.45,0.2199095022624434,0.7800904977375566,491,False,,
MedMentions,BioMistral-7B,random,0.4,0.2195431472081218,0.7804568527918782,491,False,,
MedMentions,BioMistral-7B,random,0.35,0.2218023255813953,0.7781976744186047,491,False,,
MedMentions,BioMistral-7B,random,0.3,0.2209459459459459,0.779054054054054,491,False,,
MedMentions,BioMistral-7B,random,0.25,0.2207317073170731,0.7792682926829269,491,False,,
MedMentions,BioMistral-7B,random,0.2,0.2222222222222221,0.7777777777777778,491,False,,
MedMentions,BioMistral-7B,random,0.15,0.2182432432432432,0.7817567567567567,491,False,,
MedMentions,BioMistral-7B,random,0.1,0.229,0.771,491,False,,
MedMentions,FLAN-T5-base,combined,1.0,0.2097759674134419,0.790224032586558,491,False,,
MedMentions,FLAN-T5-base,combined,0.95,0.2184154175588865,0.7815845824411135,491,False,,
MedMentions,FLAN-T5-base,combined,0.9,0.2194570135746606,0.7805429864253394,491,False,,
MedMentions,FLAN-T5-base,combined,0.85,0.2224880382775119,0.777511961722488,491,False,,
MedMentions,FLAN-T5-base,combined,0.8,0.2264631043256997,0.7735368956743003,491,False,,
MedMentions,FLAN-T5-base,combined,0.75,0.2303523035230352,0.7696476964769647,491,False,,
MedMentions,FLAN-T5-base,combined,0.7,0.2383720930232558,0.7616279069767442,491,False,,
MedMentions,FLAN-T5-base,combined,0.65,0.24375,0.75625,491,False,,
MedMentions,FLAN-T5-base,combined,0.6,0.2406779661016949,0.7593220338983051,491,False,,
MedMentions,FLAN-T5-base,combined,0.55,0.2472324723247232,0.7527675276752768,491,False,,
MedMentions,FLAN-T5-base,combined,0.5,0.2642276422764227,0.7357723577235773,491,False,,
MedMentions,FLAN-T5-base,combined,0.45,0.2895927601809955,0.7104072398190044,491,False,,
MedMentions,FLAN-T5-base,combined,0.4,0.3096446700507614,0.6903553299492386,491,False,,
MedMentions,FLAN-T5-base,combined,0.35,0.3430232558139535,0.6569767441860466,491,False,,
MedMentions,FLAN-T5-base,combined,0.3,0.3716216216216216,0.6283783783783784,491,False,,
MedMentions,FLAN-T5-base,combined,0.25,0.4065040650406504,0.5934959349593496,491,False,,
MedMentions,FLAN-T5-base,combined,0.2,0.404040404040404,0.595959595959596,491,False,,
