coverage,n_keep,n_total,selective_accuracy,risk,dataset,model,signal,n,small_n
1.0,139.0,139.0,0.11510791366906475,0.8848920863309353,SQuAD2,BioMistral-7B,entropy,139,True
0.95,133.0,139.0,0.12030075187969924,0.8796992481203008,SQuAD2,BioMistral-7B,entropy,139,True
0.9,126.0,139.0,0.11904761904761904,0.8809523809523809,SQuAD2,BioMistral-7B,entropy,139,True
0.85,119.0,139.0,0.12605042016806722,0.8739495798319328,SQuAD2,BioMistral-7B,entropy,139,True
0.8,112.0,139.0,0.13392857142857142,0.8660714285714286,SQuAD2,BioMistral-7B,entropy,139,True
0.75,105.0,139.0,0.14285714285714285,0.8571428571428572,SQuAD2,BioMistral-7B,entropy,139,True
0.7,98.0,139.0,0.14285714285714285,0.8571428571428572,SQuAD2,BioMistral-7B,entropy,139,True
0.65,91.0,139.0,0.14285714285714285,0.8571428571428572,SQuAD2,BioMistral-7B,entropy,139,True
0.6,84.0,139.0,0.15476190476190477,0.8452380952380952,SQuAD2,BioMistral-7B,entropy,139,True
0.55,77.0,139.0,0.16883116883116883,0.8311688311688312,SQuAD2,BioMistral-7B,entropy,139,True
0.5,70.0,139.0,0.17142857142857143,0.8285714285714285,SQuAD2,BioMistral-7B,entropy,139,True
0.45,63.0,139.0,0.1746031746031746,0.8253968253968254,SQuAD2,BioMistral-7B,entropy,139,True
0.4,56.0,139.0,0.19642857142857142,0.8035714285714286,SQuAD2,BioMistral-7B,entropy,139,True
0.35,49.0,139.0,0.22448979591836735,0.7755102040816326,SQuAD2,BioMistral-7B,entropy,139,True
0.3,42.0,139.0,0.21428571428571427,0.7857142857142857,SQuAD2,BioMistral-7B,entropy,139,True
0.25,35.0,139.0,0.2,0.8,SQuAD2,BioMistral-7B,entropy,139,True
0.2,28.0,139.0,0.17857142857142858,0.8214285714285714,SQuAD2,BioMistral-7B,entropy,139,True
0.15,21.0,139.0,0.19047619047619047,0.8095238095238095,SQuAD2,BioMistral-7B,entropy,139,True
0.1,14.0,139.0,0.14285714285714285,0.8571428571428572,SQuAD2,BioMistral-7B,entropy,139,True
1.0,139.0,139.0,0.11510791366906475,0.8848920863309353,SQuAD2,BioMistral-7B,confidence,139,True
0.95,133.0,139.0,0.10526315789473684,0.8947368421052632,SQuAD2,BioMistral-7B,confidence,139,True
0.9,126.0,139.0,0.0873015873015873,0.9126984126984127,SQuAD2,BioMistral-7B,confidence,139,True
0.85,119.0,139.0,0.08403361344537816,0.9159663865546218,SQuAD2,BioMistral-7B,confidence,139,True
0.8,112.0,139.0,0.08035714285714286,0.9196428571428571,SQuAD2,BioMistral-7B,confidence,139,True
0.75,105.0,139.0,0.08571428571428572,0.9142857142857143,SQuAD2,BioMistral-7B,confidence,139,True
0.7,98.0,139.0,0.08163265306122448,0.9183673469387755,SQuAD2,BioMistral-7B,confidence,139,True
0.65,91.0,139.0,0.07692307692307693,0.9230769230769231,SQuAD2,BioMistral-7B,confidence,139,True
0.6,84.0,139.0,0.07142857142857142,0.9285714285714286,SQuAD2,BioMistral-7B,confidence,139,True
0.55,77.0,139.0,0.05194805194805195,0.948051948051948,SQuAD2,BioMistral-7B,confidence,139,True
0.5,70.0,139.0,0.04285714285714286,0.9571428571428572,SQuAD2,BioMistral-7B,confidence,139,True
0.45,63.0,139.0,0.047619047619047616,0.9523809523809523,SQuAD2,BioMistral-7B,confidence,139,True
0.4,56.0,139.0,0.017857142857142856,0.9821428571428571,SQuAD2,BioMistral-7B,confidence,139,True
0.35,49.0,139.0,0.02040816326530612,0.9795918367346939,SQuAD2,BioMistral-7B,confidence,139,True
0.3,42.0,139.0,0.0,1.0,SQuAD2,BioMistral-7B,confidence,139,True
0.25,35.0,139.0,0.0,1.0,SQuAD2,BioMistral-7B,confidence,139,True
0.2,28.0,139.0,0.0,1.0,SQuAD2,BioMistral-7B,confidence,139,True
0.15,21.0,139.0,0.0,1.0,SQuAD2,BioMistral-7B,confidence,139,True
0.1,14.0,139.0,0.0,1.0,SQuAD2,BioMistral-7B,confidence,139,True
1.0,139.0,139.0,0.11510791366906475,0.8848920863309353,SQuAD2,BioMistral-7B,margin,139,True
0.95,133.0,139.0,0.09774436090225563,0.9022556390977443,SQuAD2,BioMistral-7B,margin,139,True
0.9,126.0,139.0,0.0873015873015873,0.9126984126984127,SQuAD2,BioMistral-7B,margin,139,True
0.85,119.0,139.0,0.08403361344537816,0.9159663865546218,SQuAD2,BioMistral-7B,margin,139,True
0.8,112.0,139.0,0.08035714285714286,0.9196428571428571,SQuAD2,BioMistral-7B,margin,139,True
0.75,105.0,139.0,0.08571428571428572,0.9142857142857143,SQuAD2,BioMistral-7B,margin,139,True
0.7,98.0,139.0,0.09183673469387756,0.9081632653061225,SQuAD2,BioMistral-7B,margin,139,True
0.65,91.0,139.0,0.0989010989010989,0.9010989010989011,SQuAD2,BioMistral-7B,margin,139,True
0.6,84.0,139.0,0.10714285714285714,0.8928571428571429,SQuAD2,BioMistral-7B,margin,139,True
0.55,77.0,139.0,0.11688311688311688,0.8831168831168831,SQuAD2,BioMistral-7B,margin,139,True
0.5,70.0,139.0,0.12857142857142856,0.8714285714285714,SQuAD2,BioMistral-7B,margin,139,True
0.45,63.0,139.0,0.14285714285714285,0.8571428571428572,SQuAD2,BioMistral-7B,margin,139,True
0.4,56.0,139.0,0.16071428571428573,0.8392857142857143,SQuAD2,BioMistral-7B,margin,139,True
0.35,49.0,139.0,0.16326530612244897,0.8367346938775511,SQuAD2,BioMistral-7B,margin,139,True
0.3,42.0,139.0,0.19047619047619047,0.8095238095238095,SQuAD2,BioMistral-7B,margin,139,True
0.25,35.0,139.0,0.17142857142857143,0.8285714285714285,SQuAD2,BioMistral-7B,margin,139,True
0.2,28.0,139.0,0.14285714285714285,0.8571428571428572,SQuAD2,BioMistral-7B,margin,139,True
0.15,21.0,139.0,0.19047619047619047,0.8095238095238095,SQuAD2,BioMistral-7B,margin,139,True
0.1,14.0,139.0,0.14285714285714285,0.8571428571428572,SQuAD2,BioMistral-7B,margin,139,True
1.0,139.0,139.0,0.11510791366906475,0.8848920863309353,SQuAD2,BioMistral-7B,combined,139,True
0.95,133.0,139.0,0.11278195488721804,0.887218045112782,SQuAD2,BioMistral-7B,combined,139,True
0.9,126.0,139.0,0.11904761904761904,0.8809523809523809,SQuAD2,BioMistral-7B,combined,139,True
