model,dataset,rho_margin_entropy,rho_margin_confidence,p_margin_entropy,p_margin_confidence,n
BERT-base,CADEC,0.32,-0.27,3.8022776788037325e-131,1.084552544715643e-96,5669
BioBERT,CADEC,0.37,-0.36,8.79485544235756e-179,1.0970357271507868e-172,5669
PubMedBERT,CADEC,0.38,-0.39,2.116883353737408e-189,4.4569917029415095e-204,5669
FLAN-T5,MedMentions,-0.06,0.25,0.2194774847392651,1.3757974143134058e-08,491
BioMistral-7B,MedMentions,0.10,0.32,0.022905280225086,2.1489250902384746e-13,491
Mistral-7B,MedMentions,-0.02,0.27,0.5915690330440496,5.97155061856665e-10,491
OpenBioLLM-8B,MedMentions,-0.07,0.46,0.1487626808862053,2.341061077137137e-27,491
Llama-3-8B,MedMentions,-0.06,0.28,0.1836329816390623,4.741260464481363e-10,490
FLAN-T5,CADEC,0.18,-0.13,1.7420284394400223e-41,4.506598357534973e-22,5668
BioMistral-7B,CADEC,0.07,0.14,2.0022693635803618e-08,2.032438483030308e-26,5658
Mistral-7B,CADEC,0.03,0.48,0.0378656521515847,0.0,5633
OpenBioLLM-8B,CADEC,-0.70,0.72,2.591407698065086e-35,3.027336718483192e-39,233
Llama-3-8B,CADEC,-0.54,0.64,0.0,0.0,5193
