dataset,dataset_label,model,n,AURC_entropy,AURC_confidence,AURC_random,AURC_combined,combined_le_entropy,combined_le_confidence,combined_le_both_singles,mapping_confidence_std,mean_accuracy,mean_entropy
MedMentions,MedMentions (biomedical literature),BERT-base,491,0.8640375752204752,0.8660598061413696,0.8650026722126247,0.8640375752204752,True,True,True,0.0,0.038696537678207736,0.15904068187496836
MedMentions,MedMentions (biomedical literature),BioBERT,491,0.8182369795457947,0.841162463926491,0.8332261837440249,0.8182369795457947,True,True,True,0.0,0.07128309572301425,0.1571369866993511
MedMentions,MedMentions (biomedical literature),PubMedBERT,491,0.8736802160649844,0.8761174888478026,0.8686369199020286,0.8736802160649844,True,True,True,0.0,0.032586558044806514,0.1367873931584876
MedMentions,MedMentions (biomedical literature),FLAN-T5-base,491,0.6732448031631045,0.6676121523477396,0.7089133662135196,0.6442192161847068,True,True,True,0.06273637331883357,0.20977596741344195,0.21283030035356343
MedMentions,MedMentions (biomedical literature),BioMistral-7B,491,0.7037034886312366,0.6497147519282236,0.7065525859061882,0.6656266286082033,True,False,False,0.061024717142556695,0.21792260692464357,0.19735026750368065
MedMentions,MedMentions (biomedical literature),Mistral-7B-Instruct-v0.1,491,0.6772111292718364,0.6371761995008902,0.7111032288390169,0.6429079179237651,True,False,False,0.07299293128800713,0.21181262729124237,0.20442441221407265
MedMentions,MedMentions (biomedical literature),Llama3-OpenBioLLM-8B,491,0.6271935367269723,0.5848422655226488,0.6939741462297968,0.6074900518429189,True,False,False,0.07994824289441065,0.22810590631364563,0.32514374247968414
MedMentions,MedMentions (biomedical literature),Meta-Llama-3-8B-Instruct,491,0.6817194715302822,0.6716450013900114,0.6955207284985779,0.6598063480172919,True,True,True,0.06581558592215617,0.219959266802444,0.20938849171953297
CADEC,CADEC (patient-generated health text),BERT-base,5669,0.491592245200544,0.45278686622100484,0.6178814755214728,0.4427450508174726,True,True,True,0.012775203875301917,0.3155759393191039,0.22652138858434268
CADEC,CADEC (patient-generated health text),BioBERT,5669,0.3611119024271369,0.35798055149724356,0.5300476927579751,0.3253419562000702,True,True,True,0.012107279816432597,0.4103016405009702,0.19659299790981424
CADEC,CADEC (patient-generated health text),PubMedBERT,5669,0.36445459253734436,0.35232773921501737,0.5333836530782543,0.3221092490440123,True,True,True,0.014369890183684082,0.40818486505556534,0.18860414166087658
CADEC,CADEC (patient-generated health text),FLAN-T5-base,5668,0.6709748322218497,0.6892347121094748,0.7142349660266163,0.6769646663567725,False,True,False,0.039368976927942376,0.20518701482004234,0.2027564976797814
CADEC,CADEC (patient-generated health text),BioMistral-7B,5659,0.630726114831558,0.6357098566012565,0.6799930933597937,0.6318987202776898,False,True,False,0.06012087414943545,0.24403604877186783,0.23231867594917163
CADEC,CADEC (patient-generated health text),Mistral-7B-Instruct-v0.1,5633,0.49575026376257536,0.4416352498563644,0.5786005056903211,0.44704117967292845,True,False,False,0.07664985460567122,0.35700337298064977,0.14959827206970774
CADEC,CADEC (patient-generated health text),Llama3-OpenBioLLM-8B,5669,0.4861255941510628,0.30998423789849866,0.5193017680396046,0.3104377212169425,True,False,False,0.01613509556153839,0.42212030340448053,0.00794993943260026
CADEC,CADEC (patient-generated health text),Meta-Llama-3-8B-Instruct,5212,0.456115440618805,0.35872501524283235,0.5716106227764922,0.36002709483790873,True,False,False,0.14645028182107941,0.3656945510360706,0.13535459742586123
